rung	params_b	img	axis	expected	wall_ms	correct	output_snippet
SmolVLM-500M-Instruct-Q8_0	0.5	count_5	count	5	1329	1	5.
SmolVLM-500M-Instruct-Q8_0	0.5	count_6	count	6	584	1	6.
SmolVLM-500M-Instruct-Q8_0	0.5	count_7	count	7	585	0	6.
SmolVLM-500M-Instruct-Q8_0	0.5	count_8	count	8	1098	1	8.
SmolVLM-500M-Instruct-Q8_0	0.5	count_9	count	9	1099	1	9.
SmolVLM-500M-Instruct-Q8_0	0.5	ocr_opengate	ocr	gate	581	1	OPEN GATE.
SmolVLM-500M-Instruct-Q8_0	0.5	ocr_redtruck	ocr	truck	573	1	RED TRUCK.
SmolVLM-500M-Instruct-Q8_0	0.5	ocr_bluestone	ocr	stone	584	1	BLUE STONE.
SmolVLM-500M-Instruct-Q8_0	0.5	ocr_greenleaf	ocr	leaf	576	1	GREEN LEAF.
SmolVLM-500M-Instruct-Q8_0	0.5	spatial_left_red	spatial	red	573	1	Red.
SmolVLM-500M-Instruct-Q8_0	0.5	spatial_right_blue	spatial	blue	574	1	Blue.
SmolVLM-500M-Instruct-Q8_0	0.5	spatial_above_green	spatial	green	586	1	Green.
SmolVLM-500M-Instruct-Q8_0	0.5	spatial_below_orange	spatial	orange	580	0	Yellow.
SmolVLM-500M-Instruct-Q8_0	0.5	shape_triangle	shape	triangle	1096	1	Triangle.
SmolVLM-500M-Instruct-Q8_0	0.5	shape_square	shape	square	1094	0	Rectangle.
SmolVLM-500M-Instruct-Q8_0	0.5	shape_circle	shape	circle	575	1	Circle.
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_5	count	5	2612	1	5
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_6	count	6	1602	1	6
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_7	count	7	1605	1	7
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_8	count	8	1613	0	9
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_9	count	9	1595	1	9
SmolVLM2-2.2B-Instruct-Q8_0	2.2	ocr_opengate	ocr	gate	1604	1	OPEN GATE
SmolVLM2-2.2B-Instruct-Q8_0	2.2	ocr_redtruck	ocr	truck	2106	1	RED TRUCK
SmolVLM2-2.2B-Instruct-Q8_0	2.2	ocr_bluestone	ocr	stone	2109	1	BLUE STONE
SmolVLM2-2.2B-Instruct-Q8_0	2.2	ocr_greenleaf	ocr	leaf	1608	1	GREEN LEAF
SmolVLM2-2.2B-Instruct-Q8_0	2.2	spatial_left_red	spatial	red	1610	1	red
SmolVLM2-2.2B-Instruct-Q8_0	2.2	spatial_right_blue	spatial	blue	1600	1	blue
SmolVLM2-2.2B-Instruct-Q8_0	2.2	spatial_above_green	spatial	green	2104	1	Green
SmolVLM2-2.2B-Instruct-Q8_0	2.2	spatial_below_orange	spatial	orange	1660	1	orange
SmolVLM2-2.2B-Instruct-Q8_0	2.2	shape_triangle	shape	triangle	2133	1	Triangle
SmolVLM2-2.2B-Instruct-Q8_0	2.2	shape_square	shape	square	2089	1	square
SmolVLM2-2.2B-Instruct-Q8_0	2.2	shape_circle	shape	circle	1582	1	circle
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_5	count	5	5151	1	5
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_6	count	6	3675	1	6
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_7	count	7	4655	0	6
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_8	count	8	4130	0	7
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_9	count	9	4249	0	8
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	ocr_opengate	ocr	gate	3757	1	OPEN GATE
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	ocr_redtruck	ocr	truck	3733	1	RED TRUCK
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	ocr_bluestone	ocr	stone	3645	1	BLUE STONE
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	ocr_greenleaf	ocr	leaf	3685	1	GREEN LEAF
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	spatial_left_red	spatial	red	4150	1	Red
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	spatial_right_blue	spatial	blue	3904	1	Blue
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	spatial_above_green	spatial	green	3654	1	Green
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	spatial_below_orange	spatial	orange	3643	1	Orange
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	shape_triangle	shape	triangle	4644	1	Triangle
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	shape_square	shape	square	4152	1	Square
