family	params_b	img	n_expected	range	correct	pred	reply	wall_ms
smolvlm2	2.2	count_1_s0	1	subitizing	1	1	1	830
smolvlm2	2.2	count_1_s1	1	subitizing	1	1	1	440
smolvlm2	2.2	count_1_s2	1	subitizing	1	1	1	401
smolvlm2	2.2	count_1_s3	1	subitizing	1	1	1	399
smolvlm2	2.2	count_2_s0	2	subitizing	1	2	2	577
smolvlm2	2.2	count_2_s1	2	subitizing	1	2	2	559
smolvlm2	2.2	count_2_s2	2	subitizing	0	3	3	440
smolvlm2	2.2	count_2_s3	2	subitizing	1	2	2	440
smolvlm2	2.2	count_3_s0	3	subitizing	0	4	4	569
smolvlm2	2.2	count_3_s1	3	subitizing	0	4	4	442
smolvlm2	2.2	count_3_s2	3	subitizing	0	4	4	568
smolvlm2	2.2	count_3_s3	3	subitizing	0	5	5	442
smolvlm2	2.2	count_4_s0	4	subitizing	0	5	5	467
smolvlm2	2.2	count_4_s1	4	subitizing	0	5	5	520
smolvlm2	2.2	count_4_s2	4	subitizing	0	5	5	442
smolvlm2	2.2	count_4_s3	4	subitizing	1	4	4	569
smolvlm2	2.2	count_5_s0	5	counting	0	6	6	442
smolvlm2	2.2	count_5_s1	5	counting	0	6	6	565
smolvlm2	2.2	count_5_s2	5	counting	1	5	5	442
smolvlm2	2.2	count_5_s3	5	counting	0	6	6	442
smolvlm2	2.2	count_6_s0	6	counting	1	6	6	523
smolvlm2	2.2	count_6_s1	6	counting	0	7	7	442
smolvlm2	2.2	count_6_s2	6	counting	1	6	6	564
smolvlm2	2.2	count_6_s3	6	counting	0	7	7	441
smolvlm2	2.2	count_7_s0	7	counting	0	8	8	570
smolvlm2	2.2	count_7_s1	7	counting	0	8	8	444
smolvlm2	2.2	count_7_s2	7	counting	0	8	8	556
smolvlm2	2.2	count_7_s3	7	counting	0	8	8	439
smolvlm2	2.2	count_8_s0	8	counting	1	8	8	509
smolvlm2	2.2	count_8_s1	8	counting	1	8	8	442
smolvlm2	2.2	count_8_s2	8	counting	1	8	8	441
smolvlm2	2.2	count_8_s3	8	counting	0	9	9	483
smolvlm2	2.2	count_9_s0	9	counting	0	10	10	457
smolvlm2	2.2	count_9_s1	9	counting	0	10	10	535
smolvlm2	2.2	count_9_s2	9	counting	0	10	10	456
smolvlm2	2.2	count_9_s3	9	counting	0	10	10	540
smolvlm2	2.2	count_10_s0	10	dense	1	10	10	457
smolvlm2	2.2	count_10_s1	10	dense	0	12	12	532
smolvlm2	2.2	count_10_s2	10	dense	1	10	10	458
smolvlm2	2.2	count_10_s3	10	dense	1	10	10	523
smolvlm2	2.2	count_12_s0	12	dense	0	13	13	455
smolvlm2	2.2	count_12_s1	12	dense	1	12	12	513
smolvlm2	2.2	count_12_s2	12	dense	0	15	15	456
smolvlm2	2.2	count_12_s3	12	dense	1	12	12	503
smolvlm2	2.2	count_15_s0	15	dense	1	15	15	457
smolvlm2	2.2	count_15_s1	15	dense	0	14	14	498
smolvlm2	2.2	count_15_s2	15	dense	1	15	15	458
smolvlm2	2.2	count_15_s3	15	dense	0	19	19	483
