band	bpw	stratum	task_idx	wc	wall_ms	tok_est	correct	rss_mb	output_snippet
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	1	5	2180	5	1	0	1 + 1 is 2.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	11	5	2192	5	1	0	1 plus 11 is 12.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	21	5	2202	5	1	0	2 plus 1 is 3.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	31	5	1692	5	1	0	2 plus 11 is 13.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	41	5	2285	5	1	0	3 plus 1 is 4.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	51	5	2210	5	1	0	3 plus 11 is 14.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	61	5	2184	5	1	0	4 plus 1 is 5.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	71	5	2684	5	1	0	4 plus 11 is 15.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	81	5	1651	5	1	0	5 plus 1 is 6.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	91	5	1657	5	1	0	5 plus 11 is 16.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	101	5	1717	5	1	0	6 plus 1 is 7.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	111	5	1725	5	1	0	6 plus 11 is 17.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	121	5	1704	5	1	0	7 plus 1 is 8.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	131	5	2239	5	1	0	7 plus 11 is 18.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	141	5	1685	5	1	0	8 plus 1 is 9.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	151	5	2395	5	1	0	8 plus 11 is 19.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	161	5	2433	5	1	0	9 plus 1 is 10.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	171	5	1901	5	1	0	9 plus 11 is 20.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	181	5	2754	5	1	0	10 plus 1 is 11.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	191	5	2707	5	1	0	10 plus 11 is 21.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	201	7	1751	5	1	0	2 times 2 is 4.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	211	7	1678	1	1	0	6
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	221	7	1676	1	1	0	8
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	231	7	1679	1	1	0	10
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	241	7	1683	1	1	0	12
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	251	7	2200	1	1	0	14
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	261	7	2735	1	1	0	16
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	271	7	1671	1	1	0	18
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	281	7	2362	1	1	0	20
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	291	7	2206	5	1	0	11 times 2 is 22.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	301	5	2269	1	1	0	Paris
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	311	5	2763	1	1	0	Athens.
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	321	6	2727	1	1	0	olleh
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	331	11	3226	1	1	0	22
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	341	11	3790	1	1	0	23
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	351	11	2747	1	1	0	24
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	361	11	2266	1	1	0	25
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	371	11	2736	1	1	0	26
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	381	11	2782	1	1	0	27
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_5_15	391	11	2226	1	1	0	28
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_16_30	401	19	2255	1	1	0	22
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_16_30	411	19	2234	1	1	0	32
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_16_30	421	19	1705	1	1	0	23
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_16_30	431	19	2172	1	1	0	33
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_16_30	441	19	1667	1	1	0	24
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_16_30	451	19	1132	1	1	0	34
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_16_30	461	19	1164	1	1	0	25
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_16_30	471	19	1759	1	1	0	35
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_16_30	481	19	2225	1	1	0	26
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_16_30	491	19	1655	1	1	0	36
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_16_30	501	19	1141	1	1	0	27
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_16_30	511	19	1667	1	1	0	37
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_16_30	521	19	1663	1	1	0	28
Qwen2.5-1.5B-Instruct-Q3_K_M	3.5	wc_16_30	531	19	2536	1	1	0	38
