strategy	idx	output_tok_est	wall_ms	correct	output_snippet
nocap	1	1	1703	1	4
nocap	2	1	2702	1	Paris
nocap	3	1	1653	1	olleh
nocap	4	1	2677	1	49
nocap	5	1	1683	1	11
nocap	6	1	1700	1	2
nocap	7	1	1165	0	6
nocap	8	1	1129	1	100
nocap	9	1	1134	0	97
nocap	10	1	1949	0	28
nocap	11	4	2766	1	```python sum(range(1, 101)) ```
nocap	12	2	1668	1	O(log n)
nocap	13	1	1651	1	lst[::-1]
nocap	14	3	1676	1	1, 2, 3
nocap	15	13	2170	1	TCP (Transmission Control Protocol) is connection-oriented, while UDP (User Datagram Protocol) is connectionless.
nocap	16	77	2669	1	Breadth-First Search (BFS) and Depth-First Search (DFS) are two fundamental algorithms used for traversing graphs and solving problems. BFS explores all nodes a
nocap	17	290	16057	1	To implement the Fibonacci sequence using memoization in Python, we can use the `functools.cache` decorator. This decorator allows us to cache the results of ex
nocap	18	17	2210	0	1101 binary = 11 * 2^2 + 1 * 2^1 + 0 * 2^0 = 42 decimal
nocap	19	24	2231	1	Mergesort has an O(n log n) time complexity because it divides the array into smaller subarrays, sorts those, and then merges them back together.
nocap	20	21	2425	1	The Halting Problem is a fundamental problem in computer science that asks whether a given computer program will terminate its execution.
cap256	1	1	2164	1	4
cap256	2	1	1164	1	Paris
cap256	3	1	1676	1	olleh
cap256	4	1	1187	1	49
cap256	5	1	1213	1	11
cap256	6	1	1851	1	2
cap256	7	1	1160	0	6
cap256	8	1	1147	1	100
cap256	9	1	1134	0	97
cap256	10	1	1126	0	28
cap256	11	4	1736	1	```python sum(range(1, 101)) ```
cap256	12	2	1718	1	O(log n)
cap256	13	1	1140	1	lst[::-1]
cap256	14	3	1111	1	1, 2, 3
cap256	15	13	1691	1	TCP (Transmission Control Protocol) is connection-oriented, while UDP (User Datagram Protocol) is connectionless.
cap256	16	77	2770	1	Breadth-First Search (BFS) and Depth-First Search (DFS) are two fundamental algorithms used for traversing graphs and solving problems. BFS explores all nodes a
cap256	17	147	5753	1	To implement the Fibonacci sequence using memoization in Python, we can use the `functools.cache` decorator. This decorator allows us to cache the results of ex
cap256	18	17	2206	0	1101 binary = 11 * 2^2 + 1 * 2^1 + 0 * 2^0 = 42 decimal
cap256	19	24	1642	1	Mergesort has an O(n log n) time complexity because it divides the array into smaller subarrays, sorts those, and then merges them back together.
cap256	20	21	1709	1	The Halting Problem is a fundamental problem in computer science that asks whether a given computer program will terminate its execution.
cap128	1	1	1089	1	4
cap128	2	1	1095	1	Paris
cap128	3	1	1110	1	olleh
cap128	4	1	1097	1	49
cap128	5	1	1101	1	11
cap128	6	1	1117	1	2
cap128	7	1	1187	0	6
cap128	8	1	1151	1	100
cap128	9	1	1138	0	97
cap128	10	1	1144	0	28
cap128	11	4	1633	1	```python sum(range(1, 101)) ```
cap128	12	2	1135	1	O(log n)
cap128	13	1	1127	1	lst[::-1]
cap128	14	3	1123	1	1, 2, 3
cap128	15	13	1113	1	TCP (Transmission Control Protocol) is connection-oriented, while UDP (User Datagram Protocol) is connectionless.
cap128	16	77	2116	1	Breadth-First Search (BFS) and Depth-First Search (DFS) are two fundamental algorithms used for traversing graphs and solving problems. BFS explores all nodes a
cap128	17	90	3221	1	To implement the Fibonacci sequence using memoization in Python, we can use the `functools.cache` decorator. This decorator allows us to cache the results of ex
cap128	18	17	1712	0	1101 binary = 11 * 2^2 + 1 * 2^1 + 0 * 2^0 = 42 decimal
cap128	19	24	1644	1	Mergesort has an O(n log n) time complexity because it divides the array into smaller subarrays, sorts those, and then merges them back together.
cap128	20	21	1091	1	The Halting Problem is a fundamental problem in computer science that asks whether a given computer program will terminate its execution.
cap64	1	1	1111	1	4
cap64	2	1	1121	1	Paris
cap64	3	1	1108	1	olleh
cap64	4	1	1117	1	49
cap64	5	1	1122	1	11
cap64	6	1	1131	1	2
cap64	7	1	2168	0	6
cap64	8	1	1185	1	100
cap64	9	1	1160	0	97
cap64	10	1	1126	0	28
cap64	11	4	1143	1	```python sum(range(1, 101)) ```
cap64	12	2	1258	1	O(log n)
cap64	13	1	1141	1	lst[::-1]
cap64	14	3	1114	1	1, 2, 3
cap64	15	13	1630	1	TCP (Transmission Control Protocol) is connection-oriented, while UDP (User Datagram Protocol) is connectionless.
cap64	16	48	2168	1	Breadth-First Search (BFS) and Depth-First Search (DFS) are two fundamental algorithms used for traversing graphs and solving problems. BFS explores all nodes a
cap64	17	48	2720	1	To implement the Fibonacci sequence using memoization in Python, we can use the `functools.cache` decorator. This decorator allows us to cache the results of ex
cap64	18	17	2750	0	1101 binary = 11 * 2^2 + 1 * 2^1 + 0 * 2^0 = 42 decimal
cap64	19	24	2197	1	Mergesort has an O(n log n) time complexity because it divides the array into smaller subarrays, sorts those, and then merges them back together.
cap64	20	21	1671	1	The Halting Problem is a fundamental problem in computer science that asks whether a given computer program will terminate its execution.
cap32	1	1	1139	1	4
cap32	2	1	1105	1	Paris
cap32	3	1	1100	1	olleh
cap32	4	1	1105	1	49
cap32	5	1	1112	1	11
cap32	6	1	1095	1	2
cap32	7	1	1091	0	6
cap32	8	1	1099	1	100
cap32	9	1	584	0	97
cap32	10	1	1153	0	28
