strategy	idx	wall_ms	output_tok_est	correct	output_snippet
cold	1	2258	1	1	4
cold	2	2249	1	1	Paris
cold	3	2451	1	1	olleh
cold	4	1710	1	1	49
cold	5	1704	1	1	11
cold	6	3221	1	1	2
cold	7	1728	1	0	6
cold	8	1862	1	0	0
cold	9	2837	1	1	65
cold	10	2247	1	0	27
cold	11	2810	4	1	```python sum(range(1, 101)) ```
cold	12	2835	2	1	O(log n)
cold	13	2728	1	1	lst[::-1]
cold	14	3924	3	1	{1, 2, 3}
cold	15	6513	7	1	TCP is connection-oriented, while UDP is connectionless.
cold	16	4502	66	1	Breadth-First Search (BFS) explores all nodes at the current level before moving on to the next level. DFS, on the other
cold	17	4730	32	1	```python import functools def fibonacci_memoized(n, memo={}): if n in memo: return memo[n] if n <= 1: return n memo[n]
cold	18	3356	7	0	1101 binary = 1101 decimal = 19
cold	19	2199	15	1	Mergesort has an average time complexity of O(n log n) due to its divide-and-conquer approach.
cold	20	2793	11	1	A halting problem is a problem that has no algorithmic solution.
warm	1	3265	11	1	saved session before last token to /tmp/sandbox_prefix.bin, n_tokens = 382 4
warm	2	2236	1	1	Paris
warm	3	2736	1	1	olleh
warm	4	3230	1	1	49
warm	5	1772	1	1	11
warm	6	2739	1	1	2
warm	7	1732	1	1	7
warm	8	1711	1	0	0
warm	9	1694	1	1	65
warm	10	1721	1	0	27
warm	11	4385	4	1	```python sum(range(1, 101)) ```
warm	12	1726	2	1	O(log n)
warm	13	1716	1	1	lst[::-1]
warm	14	1722	3	1	{1, 2, 3}
warm	15	2212	7	1	TCP is connection-oriented, while UDP is connectionless.
warm	16	2830	66	1	Breadth-First Search (BFS) explores all nodes at the current level before moving on to the next level. DFS, on the other
warm	17	3536	32	1	```python import functools def fibonacci_memoized(n, memo={}): if n in memo: return memo[n] if n <= 1: return n memo[n]
warm	18	3083	7	0	1101 binary = 1101 decimal = 19
warm	19	4252	26	1	Mergesort has an O(n log n) time complexity because it repeatedly divides the array into smaller subarrays, sorts these
warm	20	3274	11	1	Halting problem is a fundamental concept in computer science and mathematics.
