strategy	task_idx	cost_usd	duration_ms	input_tokens	cache_creation	cache_read	output_tokens	model	correct	result_snippet
cold	1	0.002802	1578	2023	0	0	54	claude-haiku-4-5-20251001	1	4
cold	2	0.0028150000000000002	1609	2017	0	0	55	claude-haiku-4-5-20251001	1	Paris.
cold	3	0.002945	1444	2034	0	0	80	claude-haiku-4-5-20251001	1	olleh
cold	4	0.002255	1032	2030	0	0	45	claude-haiku-4-5-20251001	1	49
cold	5	0.0030380000000000003	1921	2033	0	0	95	claude-haiku-4-5-20251001	1	11
cold	6	0.002942	1842	2030	0	0	81	claude-haiku-4-5-20251001	1	2
cold	7	0.0033370000000000006	2720	2030	0	0	161	claude-haiku-4-5-20251001	1	7
cold	8	0.002925	1487	2000	0	0	77	claude-haiku-4-5-20251001	1	100
cold	9	0.0028919999999999996	1788	1996	0	0	75	claude-haiku-4-5-20251001	1	65
cold	10	0.0034680000000000006	2214	1994	0	0	190	claude-haiku-4-5-20251001	1	29
warm	1	0.003708	1853	2669	0	0	107	claude-haiku-4-5-20251001	1	4
warm	2	0.003471	1797	2663	0	0	60	claude-haiku-4-5-20251001	1	Paris
warm	3	0.004022	1926	2671	0	0	168	claude-haiku-4-5-20251001	1	olleh
warm	4	0.003524	2008	2667	0	0	69	claude-haiku-4-5-20251001	1	49
warm	5	0.00371	1430	2670	0	0	102	claude-haiku-4-5-20251001	1	11
warm	6	0.003504	1370	2667	0	0	66	claude-haiku-4-5-20251001	1	2
warm	7	0.004039	2602	2667	0	0	174	claude-haiku-4-5-20251001	1	7
warm	8	0.003635	1595	2675	0	0	86	claude-haiku-4-5-20251001	1	100
warm	9	0.003522	1254	2671	0	0	66	claude-haiku-4-5-20251001	1	65
warm	10	0.0033740000000000003	1903	2669	0	0	141	claude-haiku-4-5-20251001	1	29
