task_idx	model	cost_usd	duration_ms	input_tokens	output_tokens	correct	result_snippet
1	claude-haiku-4-5-20251001	0.015276749999999999	1980	6	6	1	4
2	claude-haiku-4-5-20251001	0.015276749999999999	3864	6	6	1	8
3	claude-haiku-4-5-20251001	0.01530175	1733	6	6	1	4
4	claude-haiku-4-5-20251001	0.015270500000000001	1689	6	6	1	42
5	claude-haiku-4-5-20251001	0.0152855	1735	6	6	1	81
6	claude-opus-4-7	0.014767500000000001	1960	6	6	1	5
7	claude-haiku-4-5-20251001	0.015281749999999998	2032	6	6	1	7
8	claude-haiku-4-5-20251001	0.015265500000000001	1642	6	6	1	25
9	claude-haiku-4-5-20251001	0.015290500000000002	1679	6	6	1	25
10	claude-haiku-4-5-20251001	0.0152855	1761	6	6	1	64
11	claude-haiku-4-5-20251001	0.015306499999999999	1674	6	6	1	9
12	claude-haiku-4-5-20251001	0.015306499999999999	1699	6	6	1	12
13	claude-haiku-4-5-20251001	0.015274500000000002	2214	6	6	1	120
14	claude-haiku-4-5-20251001	0.015269500000000002	2213	6	6	1	24
15	claude-haiku-4-5-20251001	0.015269500000000002	1695	6	6	1	6
16	claude-haiku-4-5-20251001	0.015321250000000002	1833	6	6	1	55
17	claude-haiku-4-5-20251001	0.015305	2858	6	6	1	10
18	claude-haiku-4-5-20251001	0.0153	8980	6	6	1	40
19	claude-haiku-4-5-20251001	0.015313499999999999	1730	6	6	1	3
20	claude-haiku-4-5-20251001	0.01530125	1865	6	6	1	3
21	claude-haiku-4-5-20251001	0.01531625	2166	6	6	1	4
22	claude-haiku-4-5-20251001	0.015325500000000002	1562	6	7	1	1024
23	claude-haiku-4-5-20251001	0.015300500000000002	2719	6	6	1	256
24	claude-haiku-4-5-20251001	0.015335749999999999	1726	6	6	1	6
25	claude-haiku-4-5-20251001	0.015335749999999999	2762	6	6	1	10
26	claude-opus-4-7	0.01479875	2058	6	6	1	12
27	claude-haiku-4-5-20251001	0.01537475	2181	6	8	1	3.14
28	claude-haiku-4-5-20251001	0.015368499999999998	1965	6	8	0	2.72
29	claude-haiku-4-5-20251001	0.015289500000000001	1869	6	7	1	Paris
30	claude-haiku-4-5-20251001	0.015357	1894	6	9	1	Tokyo
31	claude-haiku-4-5-20251001	0.015307000000000001	2042	6	7	1	Rome
32	claude-haiku-4-5-20251001	0.015332	1935	6	8	1	Madrid
33	claude-haiku-4-5-20251001	0.01525575	2485	6	5	1	London
34	claude-haiku-4-5-20251001	0.015332	2008	6	8	1	Berlin
35	claude-haiku-4-5-20251001	0.015382000000000002	1801	6	10	1	Ottawa.
36	claude-haiku-4-5-20251001	0.015352	1790	6	8	1	Moscow
37	claude-haiku-4-5-20251001	0.015343250000000001	1726	6	8	1	Cairo
38	claude-haiku-4-5-20251001	0.015338250000000001	2136	6	8	0	Brasília
