group	param	claimed	n6_computed	n6_expr	config	verdict
2B4T-arch	d_model	2560	2560	2^(s-t)*(s-phi)	2560	EXACT
2B4T-arch	n_layers	30	30	sopfr*n	30	EXACT
2B4T-arch	n_heads	20	20	(s-phi)*phi	20	EXACT
2B4T-arch	n_kv_heads	5	5	sopfr	5	EXACT
2B4T-arch	head_dim	128	128	2^(s-sopfr)	128	EXACT
2B4T-arch	d_ffn	6912	6912	2^(s-t)*(n/phi)^(n/phi)	6912	EXACT
2B4T-arch	max_position	4096	4096	2^sigma	4096	EXACT
2B4T-arch	rope_theta	500000	500000	sopfr*(s-phi)^sopfr	500000	EXACT
2B4T-arch	vocab_size	128256	128256	2^(s-sopfr)*10^(n/phi)+2^(s-t)	128256	EXACT
2B4T-arch	relu2_exponent	2	2	phi	2	EXACT
2B4T-arch	rms_norm_eps_exp	5	5	10^(-sopfr)	5	EXACT
2B4T-arch	ternary_values	3	3	n/phi	(structural)	EXACT
2B4T-arch	weight_bits_log2arg	3	3	log2(n/phi)	(structural)	EXACT
2B4T-arch	activation_bits	8	8	sigma-tau	(structural)	EXACT
2B4T-arch	ffn_ratio_num	27	27	(n/phi)^(n/phi)	27	EXACT
2B4T-arch	ffn_ratio_den	10	10	sigma-phi	10	EXACT
2B4T-train	train_tokens_T	4	4	tau*10^12	(card)	EXACT
2B4T-train	params_B	2	2	phi*10^9	(card)	EXACT
2B4T-train	tokens_per_param	2000	2000	(s-phi)^(n/phi)*phi	(card)	EXACT
2B4T-train	dpo_beta_inv	10	10	1/(sigma-phi)	(card)	EXACT
2B4T-train	weight_decay_inv	10	10	1/(sigma-phi)	(card)	EXACT
2B4T-train	dpo_lr_lead	2	2	phi*10^-(s-sopfr)	(card)	EXACT
2B4T-train	dpo_epochs	2	2	phi	(card)	EXACT
2B4T-ecosystem	gptq_group_size	128	128	2^(s-sopfr)	(ecosystem)	EXACT
2B4T-ecosystem	awq_group_size	128	128	2^(s-sopfr)	(ecosystem)	EXACT
2B4T-ecosystem	gguf_levels_set	1	1	{phi,n/phi,tau,sopfr,n,s-t}={2,3,4,5,6,8}	(ecosystem)	EXACT
2B4T-energy	energy_ratio_7nm	714/10	720/10	sigma*n=72	(empirical)	CLOSE
700M	d_model	1536	1536	sigma*2^(s-sopfr)	(card)	EXACT
700M	n_layers	24	24	J2	(card)	EXACT
700M	n_heads	16	16	2^tau	(card)	EXACT
700M	d_ffn	4096	4096	2^sigma	(card)	EXACT
700M	max_pos	2048	2048	2^(s-mu)	(card)	EXACT
700M	vocab	32002	32002	2^sopfr*10^(n/phi)+phi	(card)	EXACT
3B	d_model	3200	3200	2^(s-sopfr)*sopfr^phi	(card)	EXACT
3B	n_layers	26	26	J2+phi	(card)	EXACT
3B	n_heads	32	32	2^sopfr	(card)	EXACT
3B	d_ffn	8640	8640	d_model*27/10	(card)	EXACT
3B	max_pos	2048	2048	2^(s-mu)	(card)	EXACT
3B	vocab	32002	32002	2^sopfr*10^(n/phi)+phi	(card)	EXACT
