persona	stratum	task_idx	wc	wall_ms	output_tok_est	correct	output_snippet
nano	wc_5_15	1	5	1132	1	1	2
nano	wc_5_15	14	5	1083	1	0	25
nano	wc_5_15	27	5	1082	1	1	9
nano	wc_5_15	40	5	1086	1	0	42
nano	wc_5_15	53	5	1099	1	0	46
nano	wc_5_15	66	5	594	1	1	10
nano	wc_5_15	79	5	1077	5	1	4 + 19 = 23
nano	wc_5_15	92	5	583	1	1	17
nano	wc_5_15	105	5	1078	1	1	11
nano	wc_5_15	118	5	1643	5	1	18 + 6 = 24
nano	wc_5_15	131	5	1072	1	1	18
nano	wc_5_15	144	5	580	1	1	12
nano	wc_5_15	157	5	1086	5	1	8 + 17 = 25
nano	wc_5_15	170	5	1082	1	1	19
nano	wc_5_15	183	5	1075	5	1	10 + 3 = 13
nano	wc_5_15	196	5	1096	1	1	26
nano	wc_5_15	209	7	1074	1	1	20
nano	wc_5_15	222	7	1132	1	1	12
nano	wc_5_15	235	7	1083	1	1	30
nano	wc_5_15	248	7	1076	5	1	6 times 9 is 54.
nano	wc_5_15	261	7	603	1	1	16
nano	wc_5_15	274	7	1080	5	1	9 times 5 is 45.
nano	wc_5_15	287	7	584	1	1	80
nano	wc_5_15	300	7	1075	5	1	11 x 11 = 121
nano	wc_5_15	313	5	597	1	1	Vienna
nano	wc_5_15	326	6	577	1	0	"ornem"
nano	wc_5_15	339	11	1072	1	0	20
nano	wc_5_15	352	11	1128	1	0	15
nano	wc_5_15	365	11	1144	1	0	19
nano	wc_5_15	378	11	1142	1	0	23
nano	wc_16_30	401	19	1125	1	1	22
nano	wc_16_30	414	19	1090	1	1	35
nano	wc_16_30	427	19	2268	1	1	29
nano	wc_16_30	440	19	1717	1	1	42
nano	wc_16_30	453	19	1840	1	1	36
nano	wc_16_30	466	19	1221	1	0	20
nano	wc_16_30	479	19	1688	1	0	35
nano	wc_16_30	492	19	1213	1	1	37
nano	wc_16_30	505	19	1700	1	1	31
nano	wc_16_30	518	19	1130	1	0	34
nano	wc_16_30	531	19	1152	1	1	38
nano	wc_16_30	544	19	1148	1	1	32
nano	wc_16_30	557	19	2138	1	0	35
nano	wc_16_30	570	19	1666	1	1	39
nano	wc_16_30	583	19	2160	1	1	33
nano	wc_16_30	596	19	1694	1	1	46
nano	wc_16_30	609	18	1692	1	1	20
nano	wc_16_30	622	18	1702	1	1	9
nano	wc_16_30	635	18	3674	1	1	48
nano	wc_16_30	648	18	2283	1	1	36
nano	wc_16_30	661	18	1186	1	1	10
nano	wc_16_30	674	18	1626	1	1	75
nano	wc_16_30	687	18	2224	1	1	48
nano	wc_16_30	700	18	2762	1	1	126
nano	wc_16_30	713	18	2953	1	1	98
nano	wc_16_30	726	18	3072	1	1	56
nano	wc_16_30	739	18	3541	1	1	160
nano	wc_16_30	752	18	1814	1	1	117
nano	wc_16_30	765	18	1770	1	1	60
nano	wc_16_30	778	18	1679	1	1	190
nano	wc_31_60	801	33	1183	1	0	4
nano	wc_31_60	814	49	1136	1	0	300
nano	wc_31_60	827	43	2333	1	1	24
nano	wc_31_60	840	56	1725	1	1	14
nano	wc_31_60	853	48	1787	1	0	100
nano	wc_31_60	866	38	1700	1	0	20
nano	wc_31_60	879	50	1726	1	0	14
nano	wc_31_60	892	42	1125	1	0	104
nano	wc_31_60	905	36	1079	1	0	180
nano	wc_31_60	918	50	1156	1	0	28
nano	wc_31_60	931	42	2142	1	0	192
nano	wc_31_60	944	35	1689	1	0	240
nano	wc_31_60	957	55	1129	1	0	140
nano	wc_31_60	970	49	1106	1	0	120
nano	wc_31_60	983	33	1098	1	0	44
nano	wc_31_60	996	48	1641	1	0	180
nano	wc_31_60	1009	40	1149	1	0	480
nano	wc_31_60	1022	38	1094	1	0	348
