strategy	tau	task_idx	word_count	chosen_tier	model	cost_usd	duration_ms	input_tokens	output_tokens	correct	result_snippet
tau_30	30	1	8	sonnet	claude-haiku-4-5-20251001	0.0072255	1318	3	5	1	4
tau_30	30	2	5	sonnet	claude-haiku-4-5-20251001	0.0025084499999999997	1362	3	5	1	Paris.
tau_30	30	3	10	sonnet	claude-haiku-4-5-20251001	0.0025514500000000002	1374	3	5	1	olleh
tau_30	30	4	8	sonnet	claude-haiku-4-5-20251001	0.00253745	1623	3	5	1	49
tau_30	30	5	11	sonnet	claude-haiku-4-5-20251001	0.0025667	1619	3	5	1	11
tau_30	30	6	8	sonnet	claude-haiku-4-5-20251001	0.0025324500000000003	1390	3	5	1	2
tau_30	30	7	8	sonnet	claude-haiku-4-5-20251001	0.0025274500000000005	1533	3	5	1	7
tau_30	30	8	14	sonnet	claude-sonnet-4-6	0.0031323	1297	3	5	1	100
tau_30	30	9	10	sonnet	claude-haiku-4-5-20251001	0.00257035	1342	3	5	1	65
tau_30	30	10	9	sonnet	claude-haiku-4-5-20251001	0.00370505	1514	3	5	1	29
tau_30	30	11	12	sonnet	claude-sonnet-4-6	0.0022788	1424	3	19	1	```python print(sum(range(1, 101))) ```
tau_30	30	12	9	sonnet	claude-sonnet-4-6	0.00208755	1284	3	8	1	O(log n)
tau_30	30	13	13	sonnet	claude-haiku-4-5-20251001	0.00385305	1560	3	10	1	`lst[::-1]`
tau_30	30	14	8	sonnet	claude-haiku-4-5-20251001	0.0026509	1559	3	10	0	{1,2,3}
tau_30	30	15	10	sonnet	claude-haiku-4-5-20251001	0.004597550000000001	2655	3	58	1	**TCP** (Transmission Control Protocol) is connection-oriented, establishing a r
tau_30	30	16	7	sonnet	claude-haiku-4-5-20251001	0.004464350000000001	3402	3	131	1	**BFS (Breadth-First Search)** explores a graph level by level, visiting all nei
tau_30	30	17	7	sonnet	claude-haiku-4-5-20251001	0.01767585	14034	4	824	1	Here's the implementation — clean, correct, and verified:  ---  ### `fibonacci
tau_30	30	18	8	sonnet	claude-haiku-4-5-20251001	0.0104193	7134	4	415	1	## Binary `1101` → Decimal `13`  | Bit | Position | Value | |-----|----------|
tau_30	30	19	8	sonnet	claude-haiku-4-5-20251001	0.0038516999999999996	3914	3	89	1	Mergesort splits the array in half **log n** times (the depth of the recursion t
tau_30	30	20	8	sonnet	claude-haiku-4-5-20251001	0.0036782000000000004	2353	3	80	1	The halting problem is the proven-undecidable question of whether a general algo
tau_50	50	1	8	sonnet	claude-haiku-4-5-20251001	0.00254795	1495	3	5	1	4
tau_50	50	2	5	sonnet	claude-sonnet-4-6	0.00201645	1258	3	5	1	Paris.
tau_50	50	3	10	sonnet	claude-haiku-4-5-20251001	0.00255745	2257	3	5	1	olleh
tau_50	50	4	8	sonnet	claude-haiku-4-5-20251001	0.00254345	1215	3	5	1	49
tau_50	50	5	11	sonnet	claude-sonnet-4-6	0.0020426999999999997	1158	3	5	1	11
tau_50	50	6	8	sonnet	claude-sonnet-4-6	0.00203145	1505	3	5	1	2
tau_50	50	7	8	sonnet	claude-sonnet-4-6	0.00319605	1129	3	5	1	7
tau_50	50	8	14	sonnet	claude-sonnet-4-6	0.0020668500000000003	1098	3	5	1	100
tau_50	50	9	10	sonnet	claude-sonnet-4-6	0.00205185	1157	3	5	1	65
tau_50	50	10	9	sonnet	claude-sonnet-4-6	0.0020443500000000003	1206	3	5	1	29
tau_50	50	11	12	sonnet	claude-haiku-4-5-20251001	0.0028316	1386	3	19	1	```python print(sum(range(1, 101))) ```
tau_50	50	12	9	sonnet	claude-sonnet-4-6	0.0020893500000000002	1333	3	8	1	O(log n)
tau_50	50	13	13	sonnet	claude-haiku-4-5-20251001	0.0027026	2112	3	13	1	```python lst[::-1] ```
tau_50	50	14	8	sonnet	claude-haiku-4-5-20251001	0.0026626	1483	3	11	1	1, 2, 3
tau_50	50	15	10	sonnet	claude-haiku-4-5-20251001	0.00354335	2669	3	70	1	**TCP** (Transmission Control Protocol) is connection-oriented, meaning it estab
tau_50	50	16	7	sonnet	claude-haiku-4-5-20251001	0.00454835	3430	3	137	1	**BFS (Breadth-First Search)** explores a graph level by level, visiting all nei
