# ════════════════════════════════════════════════════════════════════
# VERDICT — M5.SUBSTRATE multimodal CAPABILITY FIT (cycle-20)
#   bench:    bench/sandbox_multimodal_ladder.hexa  (3 VL rungs × 16-item harder manifest)
#   verifier: verify/numerics_substrate_multimodal_fit.hexa  (closed-form recompute)
#   date:     2026-05-25
#   tier:     🟢 SUPPORTED-NUMERICAL  (real 3-rung serve + byte-exact non-self-judging
#             scorer + closed-form recompute of an HONEST-NEGATIVE capability gradient)
#   scope:    Closes the CAPABILITY half of M5.SUBSTRATE multimodal. The serving-stack
#             feasibility half landed at PR #59 (smoke 10/10). This rung adds the ≥3-rung
#             difficulty-stratified ladder + the closed-form fit the smoke could not give.
# ════════════════════════════════════════════════════════════════════

# ── PART 1 — THE THREE VL RUNGS (all served locally, $0 Metal, mac-mini-m3) ─
# All via stock brew llama.cpp `llama-mtmd-cli` (-m model + --mmproj projector +
# --image FILE), CLIP vision encoder on the MTL0 Metal/UMA backend, seed-pinned
# greedy (--temp 0 -s 42 -n 24). All three load on 24GB UMA.
#   rung 0  SmolVLM-500M-Instruct-Q8_0     ~0.5B  ggml-org/SmolVLM-500M-Instruct-GGUF   ~546MB
#   rung 1  SmolVLM2-2.2B-Instruct-Q8_0    ~2.2B  ggml-org/SmolVLM2-2.2B-Instruct-GGUF  ~2.3GB
#   rung 2  Qwen2.5-VL-3B-Instruct-Q4_K_M  ~3.0B  ggml-org/Qwen2.5-VL-3B-Instruct-GGUF  ~3.0GB
# Param gradient 0.5B / 2.2B / 3.0B = log2 span ≈ 2.58 octaves. Local copies under
# ~/Models/gguf/{smolvlm,smolvlm2_2b,qwen25vl3b}/ (model + paired mmproj each).
# NOTE: the SmolVLM-Instruct (2.2B, the "v1" 2.2B) GGUF fails to load on this build
#   (`init: invalid token[6] = -1` / `failed to decode`); the SmolVLM2-2.2B-Instruct
#   GGUF loads + serves cleanly — that is the committed 2.2B rung. INBOX-registered.

# ── PART 2 — HARDER DIFFICULTY-STRATIFIED MANIFEST (16 items, non-saturating) ─
# Self-generated by the bench via PIL (seed-pinned, bit-reproducible). Difficulty
# dialled UP vs the PR #59 smoke (which capped at 4 circles / single word / single
# digit and saturated 10/10 on 500M). 4 axes:
#   count   (5): multi-object counting, 5–9 black circles on a 3×3 grid
#   ocr     (4): OCR of 2-word uppercase phrases (keyword = the 2nd word)
#   spatial (4): left / right / top / bottom relation between two colored squares
#   shape   (3): fine color+shape discrimination (triangle / square / circle)
# scorer: byte_exact_subset (lowercase, collapse whitespace, case-insensitive SUBSTRING
#   match on the expected keyword). NO LLM self-judge — pure byte compare. Same family
#   as the PR #59 smoke + the text floor (rwkv_m1_accuracy_floor.hexa).

# ── PART 3 — MEASURED LADDER (the capability gradient) ──────────────
#   rung 0  0.5B  13/16 = 81.25%   [count 4/5  ocr 4/4  spatial 3/4  shape 2/3]
#   rung 1  2.2B  15/16 = 93.75%   [count 4/5  ocr 4/4  spatial 4/4  shape 3/3]
#   rung 2  3.0B  13/16 = 81.25%   [count 2/5  ocr 4/4  spatial 4/4  shape 3/3]
#   monotone_nondecreasing = FALSE  (rise +12.5pp 0.5B→2.2B, then fall −12.5pp 2.2B→3.0B)

# ── PART 4 — CLOSED-FORM FIT + HONEST-NEGATIVE VERDICT ──────────────
# HONEST-NEGATIVE on overall monotonicity (a CLOSED/valid outcome per the milestone):
# overall accuracy is NON-MONOTONE in params (rise-then-fall), so a single logistic in
# log2(params) — monotone by construction — is the WRONG functional family for the
# overall curve (best monotone-logistic RMSE = 0.056, a structural misfit it cannot
# bend down to remove). This is NOT a quantization artifact: a separate Q8_0 Qwen-VL-3B
# probe counts the dense 5–9-object images identically to the committed Q4_K_M rung
# (5,6,6,7,8 vs gold 5,6,7,8,9), so the 3B rung GENUINELY undercounts where the 2.2B
# rung does not.
#
# The gradient SPLITS by axis (recomputed from the committed TSV):
#   PERCEPTION sub-ladder (ocr + spatial + shape, 11 items) IS monotone-non-decreasing
#     then SATURATES: 0.5B 9/11 (81.8%) → 2.2B 11/11 (100%) → 3.0B 11/11 (100%).
#     ← the real, defensible capability gradient once the params-orthogonal counting
#       axis is separated.
#   COUNTING axis (5–9 dense objects, 5 items) does NOT track params — a known VLM
#     subitizing-limit weakness (0.5B 4/5, 2.2B 4/5, 3.0B 2/5) that breaks the overall
#     monotone trend.
# CONCLUSION: a measured non-saturating ≥3-rung VL ladder + closed-form recompute exist
#   ($0 local, byte-exact, no LLM self-judge). The capability gradient is REAL but
#   non-monotone on the overall harder manifest, monotone-then-saturating on perception.

# ════════════════════════════════════════════════════════════════════
# RAW per-rung × per-item TSV (.verdicts/sandbox/m5_substrate_multimodal_ladder.tsv)
# ════════════════════════════════════════════════════════════════════
rung	params_b	img	axis	expected	wall_ms	correct	output_snippet
SmolVLM-500M-Instruct-Q8_0	0.5	count_5	count	5	2437	1	5.
SmolVLM-500M-Instruct-Q8_0	0.5	count_6	count	6	2197	1	6.
SmolVLM-500M-Instruct-Q8_0	0.5	count_7	count	7	1703	0	6.
SmolVLM-500M-Instruct-Q8_0	0.5	count_8	count	8	2236	1	8.
SmolVLM-500M-Instruct-Q8_0	0.5	count_9	count	9	1685	1	9.
SmolVLM-500M-Instruct-Q8_0	0.5	ocr_opengate	ocr	gate	1706	1	OPEN GATE.
SmolVLM-500M-Instruct-Q8_0	0.5	ocr_redtruck	ocr	truck	1723	1	RED TRUCK.
SmolVLM-500M-Instruct-Q8_0	0.5	ocr_bluestone	ocr	stone	2386	1	BLUE STONE.
SmolVLM-500M-Instruct-Q8_0	0.5	ocr_greenleaf	ocr	leaf	1770	1	GREEN LEAF.
SmolVLM-500M-Instruct-Q8_0	0.5	spatial_left_red	spatial	red	1722	1	Red.
SmolVLM-500M-Instruct-Q8_0	0.5	spatial_right_blue	spatial	blue	2189	1	Blue.
SmolVLM-500M-Instruct-Q8_0	0.5	spatial_above_green	spatial	green	1746	1	Green.
SmolVLM-500M-Instruct-Q8_0	0.5	spatial_below_orange	spatial	orange	1743	0	Yellow.
SmolVLM-500M-Instruct-Q8_0	0.5	shape_triangle	shape	triangle	1826	1	Triangle.
SmolVLM-500M-Instruct-Q8_0	0.5	shape_square	shape	square	1726	0	Rectangle.
SmolVLM-500M-Instruct-Q8_0	0.5	shape_circle	shape	circle	2258	1	Circle.
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_5	count	5	6871	1	5
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_6	count	6	4595	1	6
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_7	count	7	4549	1	7
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_8	count	8	4620	0	9
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_9	count	9	4608	1	9
SmolVLM2-2.2B-Instruct-Q8_0	2.2	ocr_opengate	ocr	gate	4290	1	OPEN GATE
SmolVLM2-2.2B-Instruct-Q8_0	2.2	ocr_redtruck	ocr	truck	3410	1	RED TRUCK
SmolVLM2-2.2B-Instruct-Q8_0	2.2	ocr_bluestone	ocr	stone	4849	1	BLUE STONE
SmolVLM2-2.2B-Instruct-Q8_0	2.2	ocr_greenleaf	ocr	leaf	3931	1	GREEN LEAF
SmolVLM2-2.2B-Instruct-Q8_0	2.2	spatial_left_red	spatial	red	5273	1	red
SmolVLM2-2.2B-Instruct-Q8_0	2.2	spatial_right_blue	spatial	blue	3680	1	blue
SmolVLM2-2.2B-Instruct-Q8_0	2.2	spatial_above_green	spatial	green	3844	1	Green
SmolVLM2-2.2B-Instruct-Q8_0	2.2	spatial_below_orange	spatial	orange	3797	1	orange
SmolVLM2-2.2B-Instruct-Q8_0	2.2	shape_triangle	shape	triangle	4829	1	Triangle
SmolVLM2-2.2B-Instruct-Q8_0	2.2	shape_square	shape	square	4992	1	square
SmolVLM2-2.2B-Instruct-Q8_0	2.2	shape_circle	shape	circle	3810	1	circle
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_5	count	5	11932	1	5
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_6	count	6	10350	1	6
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_7	count	7	8875	0	6
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_8	count	8	8860	0	7
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_9	count	9	8676	0	8
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	ocr_opengate	ocr	gate	6996	1	OPEN GATE
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	ocr_redtruck	ocr	truck	7181	1	RED TRUCK
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	ocr_bluestone	ocr	stone	8074	1	BLUE STONE
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	ocr_greenleaf	ocr	leaf	6928	1	GREEN LEAF
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	spatial_left_red	spatial	red	6976	1	Red
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	spatial_right_blue	spatial	blue	7253	1	Blue
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	spatial_above_green	spatial	green	7385	1	Green
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	spatial_below_orange	spatial	orange	6572	1	Orange
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	shape_triangle	shape	triangle	8314	1	Triangle
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	shape_square	shape	square	7493	1	Square
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	shape_circle	shape	circle	8345	1	Circle

# ════════════════════════════════════════════════════════════════════
