family	params_b	img	n_expected	range	correct	pred	reply	wall_ms
internvl3	8.0	count_1_s0	1	subitizing	1	1	1	12557
internvl3	8.0	count_1_s1	1	subitizing	1	1	1	12930
internvl3	8.0	count_1_s2	1	subitizing	1	1	1	12709
internvl3	8.0	count_1_s3	1	subitizing	1	1	1	12021
internvl3	8.0	count_2_s0	2	subitizing	1	2	2	12939
internvl3	8.0	count_2_s1	2	subitizing	1	2	2	12949
internvl3	8.0	count_2_s2	2	subitizing	1	2	2	12764
internvl3	8.0	count_2_s3	2	subitizing	1	2	2	12792
internvl3	8.0	count_3_s0	3	subitizing	1	3	3	12746
internvl3	8.0	count_3_s1	3	subitizing	1	3	3	12309
internvl3	8.0	count_3_s2	3	subitizing	1	3	3	12934
internvl3	8.0	count_3_s3	3	subitizing	1	3	3	12730
internvl3	8.0	count_4_s0	4	subitizing	1	4	4	13070
internvl3	8.0	count_4_s1	4	subitizing	1	4	4	12633
internvl3	8.0	count_4_s2	4	subitizing	1	4	4	12632
internvl3	8.0	count_4_s3	4	subitizing	1	4	4	12751
internvl3	8.0	count_5_s0	5	counting	1	5	5	12695
internvl3	8.0	count_5_s1	5	counting	1	5	5	12792
internvl3	8.0	count_5_s2	5	counting	1	5	5	12929
internvl3	8.0	count_5_s3	5	counting	1	5	5	12807
internvl3	8.0	count_6_s0	6	counting	1	6	6	12776
internvl3	8.0	count_6_s1	6	counting	1	6	6	12659
internvl3	8.0	count_6_s2	6	counting	1	6	6	12991
internvl3	8.0	count_6_s3	6	counting	1	6	6	12639
internvl3	8.0	count_7_s0	7	counting	1	7	7	12794
internvl3	8.0	count_7_s1	7	counting	1	7	7	12716
internvl3	8.0	count_7_s2	7	counting	1	7	7	13121
internvl3	8.0	count_7_s3	7	counting	0	8	8	12916
internvl3	8.0	count_8_s0	8	counting	1	8	8	13041
internvl3	8.0	count_8_s1	8	counting	1	8	8	12575
internvl3	8.0	count_8_s2	8	counting	1	8	8	12933
internvl3	8.0	count_8_s3	8	counting	1	8	8	13243
internvl3	8.0	count_9_s0	9	counting	0	8	8	12191
internvl3	8.0	count_9_s1	9	counting	1	9	9	12627
internvl3	8.0	count_9_s2	9	counting	1	9	9	12376
internvl3	8.0	count_9_s3	9	counting	1	9	9	12459
internvl3	8.0	count_10_s0	10	dense	0	9	9	12810
internvl3	8.0	count_10_s1	10	dense	1	10	10	14308
internvl3	8.0	count_10_s2	10	dense	1	10	10	14343
internvl3	8.0	count_10_s3	10	dense	1	10	10	14239
internvl3	8.0	count_12_s0	12	dense	1	12	12	14366
internvl3	8.0	count_12_s1	12	dense	1	12	12	14508
internvl3	8.0	count_12_s2	12	dense	1	12	12	14038
internvl3	8.0	count_12_s3	12	dense	1	12	12	14318
internvl3	8.0	count_15_s0	15	dense	0	16	16	14152
internvl3	8.0	count_15_s1	15	dense	0	14	14	14232
internvl3	8.0	count_15_s2	15	dense	0	17	17	14039
internvl3	8.0	count_15_s3	15	dense	1	15	15	14194
