strategy	task_idx	routed_tier	suffix	model	cost_usd	duration_ms	input_tokens	output_tokens	correct	result_snippet
3tier_baseline	1	sonnet	none	claude-haiku-4-5-20251001	0.00369005	5281	3	5	1	4
3tier_baseline	2	haiku	none	claude-haiku-4-5-20251001	0.002808	1615	2000	61	1	Paris
3tier_baseline	3	sonnet	none	claude-haiku-4-5-20251001	0.00256615	1415	3	5	1	olleh
3tier_baseline	4	sonnet	none	claude-haiku-4-5-20251001	0.00255215	5002	3	5	1	49
3tier_baseline	5	sonnet	none	claude-haiku-4-5-20251001	0.0025841	1390	3	5	1	11
3tier_baseline	6	sonnet	none	claude-haiku-4-5-20251001	0.00254985	2321	3	5	1	2
3tier_baseline	7	sonnet	none	claude-haiku-4-5-20251001	0.00254985	1216	3	5	1	7
3tier_baseline	8	sonnet	none	claude-sonnet-4-6	0.00315855	1045	3	5	1	100
3tier_baseline	9	sonnet	none	claude-sonnet-4-6	0.00204645	1228	3	5	1	65
3tier_baseline	10	sonnet	none	claude-haiku-4-5-20251001	0.00257295	1351	3	5	1	29
3tier_baseline	11	sonnet	none	claude-haiku-4-5-20251001	0.0028262	1752	3	19	1	```python print(sum(range(1, 101))) ```
3tier_baseline	12	sonnet	none	claude-haiku-4-5-20251001	0.0025979500000000003	1278	3	8	1	O(log n)
3tier_baseline	13	sonnet	none	claude-haiku-4-5-20251001	0.0026522	1977	3	10	1	`lst[::-1]`
3tier_baseline	14	sonnet	none	claude-haiku-4-5-20251001	0.0026572	1945	3	11	1	1, 2, 3
3tier_baseline	15	sonnet	none	claude-haiku-4-5-20251001	0.00339295	2259	3	61	1	**TCP** (Transmission Control Protocol) is connection-oriented, establishing a r
3tier_baseline	16	sonnet	none	claude-haiku-4-5-20251001	0.00451295	3317	3	135	1	**BFS (Breadth-First Search)** explores a graph level by level, visiting all nei
3tier_baseline	17	sonnet	none	claude-haiku-4-5-20251001	0.018847799999999998	16292	6	747	1	Everything works. Here's a walkthrough of `fibonacci.py`:  ```python from functo
3tier_baseline	18	sonnet	none	claude-haiku-4-5-20251001	0.010482600000000002	7304	4	418	1	## Binary `1101` → Decimal `13`  | Bit | Position | Value | |-----|----------|
3tier_baseline	19	sonnet	none	claude-haiku-4-5-20251001	0.0037920999999999996	2085	3	85	1	Mergesort splits the array in half at each level of recursion (producing **log n
3tier_baseline	20	sonnet	none	claude-haiku-4-5-20251001	0.0035186	2146	3	69	1	The halting problem is the proven-undecidable question of whether a general algo
3tier_haiku_cap15	1	sonnet	none	claude-sonnet-4-6	0.0020443500000000003	1438	3	5	1	4
3tier_haiku_cap15	2	haiku	Answer in <=15 tokens.	claude-haiku-4-5-20251001	0.0029000000000000002	1399	2014	75	1	Paris
3tier_haiku_cap15	3	sonnet	none	claude-haiku-4-5-20251001	0.00256285	1337	3	5	1	olleh
3tier_haiku_cap15	4	sonnet	none	claude-sonnet-4-6	0.00203685	1067	3	5	1	49
3tier_haiku_cap15	5	sonnet	none	claude-sonnet-4-6	0.0020480999999999997	1075	3	5	1	11
3tier_haiku_cap15	6	sonnet	none	claude-sonnet-4-6	0.00203685	1090	3	5	1	2
3tier_haiku_cap15	7	sonnet	none	claude-haiku-4-5-20251001	0.0011278	1890	3	5	1	7
3tier_haiku_cap15	8	sonnet	none	claude-sonnet-4-6	0.0006282	1240	3	5	1	100
3tier_haiku_cap15	9	sonnet	none	claude-haiku-4-5-20251001	0.001153	1182	3	5	1	65
3tier_haiku_cap15	10	sonnet	none	claude-haiku-4-5-20251001	0.0011504	1243	3	5	1	29
3tier_haiku_cap15	11	sonnet	none	claude-sonnet-4-6	0.0008384999999999999	1306	3	19	1	```python print(sum(range(1, 101))) ```
3tier_haiku_cap15	12	sonnet	none	claude-haiku-4-5-20251001	0.0011803999999999999	3203	3	8	1	O(log n)
3tier_haiku_cap15	13	sonnet	none	claude-sonnet-4-6	0.0033797999999999996	1159	3	13	1	```python lst[::-1] ```
3tier_haiku_cap15	14	sonnet	none	claude-sonnet-4-6	0.0021492	1289	3	11	1	1, 2, 3
3tier_haiku_cap15	15	sonnet	none	claude-haiku-4-5-20251001	0.00339195	2289	3	60	1	**TCP** (Transmission Control Protocol) is connection-oriented, establishing a r
3tier_haiku_cap15	16	sonnet	none	claude-haiku-4-5-20251001	0.00449695	3449	3	133	1	**BFS (Breadth-First Search)** explores a graph level by level, visiting all nei
3tier_haiku_cap15	17	sonnet	none	claude-haiku-4-5-20251001	0.04455855	35143	8	1979	1	All correct. Here's a breakdown of the implementation:  ---  ### How it works  `
