persona	stratum	task_idx	wc	wall_ms	output_tok_est	correct	output_snippet
nano	wc_5_15	1	5	1074	1	1	2
nano	wc_5_15	14	5	1074	1	1	15
nano	wc_5_15	27	5	1077	1	1	9
nano	wc_5_15	40	5	1093	1	1	22
nano	wc_5_15	53	5	1079	1	1	16
nano	wc_5_15	66	5	1072	1	1	10
nano	wc_5_15	79	5	1085	1	1	23
nano	wc_5_15	92	5	1091	1	1	17
nano	wc_5_15	105	5	1081	1	1	11
nano	wc_5_15	118	5	1108	1	1	24
nano	wc_5_15	131	5	1074	1	1	18
nano	wc_5_15	144	5	1083	1	1	12
nano	wc_5_15	157	5	1079	1	1	25
nano	wc_5_15	170	5	1081	1	1	19
nano	wc_5_15	183	5	1114	1	1	13
nano	wc_5_15	196	5	1082	1	1	26
nano	wc_5_15	209	7	1072	1	1	20
nano	wc_5_15	222	7	1081	1	1	12
nano	wc_5_15	235	7	1079	1	1	30
nano	wc_5_15	248	7	1112	1	1	54
nano	wc_5_15	261	7	1077	1	1	16
nano	wc_5_15	274	7	1067	1	1	45
nano	wc_5_15	287	7	1071	1	1	80
nano	wc_5_15	300	7	1076	1	1	121
nano	wc_5_15	313	5	1084	1	1	Vienna
nano	wc_5_15	326	6	1072	1	0	monole
nano	wc_5_15	339	11	1077	1	1	30
nano	wc_5_15	352	11	1074	1	1	25
nano	wc_5_15	365	11	1075	1	1	29
nano	wc_5_15	378	11	1068	1	1	33
nano	wc_16_30	401	19	1084	1	1	22
nano	wc_16_30	414	19	1082	1	1	35
nano	wc_16_30	427	19	1067	1	1	29
nano	wc_16_30	440	19	1093	1	1	42
nano	wc_16_30	453	19	1081	1	1	36
nano	wc_16_30	466	19	1091	1	1	30
nano	wc_16_30	479	19	1078	1	1	43
nano	wc_16_30	492	19	1084	1	1	37
nano	wc_16_30	505	19	1083	1	1	31
nano	wc_16_30	518	19	1076	1	1	44
nano	wc_16_30	531	19	1077	1	1	38
nano	wc_16_30	544	19	1079	1	1	32
nano	wc_16_30	557	19	1087	1	1	45
nano	wc_16_30	570	19	1073	1	1	39
nano	wc_16_30	583	19	1087	1	1	33
nano	wc_16_30	596	19	1075	1	1	46
nano	wc_16_30	609	18	1068	1	1	20
nano	wc_16_30	622	18	1073	1	1	9
nano	wc_16_30	635	18	1080	1	1	48
nano	wc_16_30	648	18	1086	1	1	36
nano	wc_16_30	661	18	1071	1	1	10
nano	wc_16_30	674	18	1064	1	1	75
nano	wc_16_30	687	18	1081	1	1	48
nano	wc_16_30	700	18	1079	1	1	126
nano	wc_16_30	713	18	1575	1	0	1054
nano	wc_16_30	726	18	1575	1	1	56
nano	wc_16_30	739	18	2669	1	1	160
nano	wc_16_30	752	18	1622	1	1	117
nano	wc_16_30	765	18	2126	1	1	60
nano	wc_16_30	778	18	1634	1	1	190
nano	wc_31_60	801	33	2173	1	1	8
nano	wc_31_60	814	49	2174	1	0	64
nano	wc_31_60	827	43	2727	1	0	42
nano	wc_31_60	840	56	2181	1	0	28
nano	wc_31_60	853	48	2783	1	0	36
nano	wc_31_60	866	38	2319	1	0	50
nano	wc_31_60	879	50	2250	1	1	20
nano	wc_31_60	892	42	3206	1	0	44
nano	wc_31_60	905	36	3542	1	0	56
nano	wc_31_60	918	50	3390	1	0	48
nano	wc_31_60	931	42	3297	1	0	44
nano	wc_31_60	944	35	2747	1	0	54
nano	wc_31_60	957	55	2163	1	0	44
nano	wc_31_60	970	49	2728	1	1	58
nano	wc_31_60	983	33	2144	1	0	50
nano	wc_31_60	996	48	2170	1	0	40
nano	wc_31_60	1009	40	2149	1	0	88
nano	wc_31_60	1022	38	1606	1	0	58
nano	wc_31_60	1035	50	2227	1	1	44
nano	wc_31_60	1048	42	2185	1	0	18
nano	wc_31_60	1061	36	2154	1	0	105
nano	wc_31_60	1074	44	2378	1	0	93
nano	wc_31_60	1087	42	2122	1	0	45
nano	wc_31_60	1100	53	1591	1	0	54
nano	wc_31_60	1113	45	2111	1	0	135
nano	wc_31_60	1126	39	1678	1	0	84
nano	wc_31_60	1139	52	2225	1	0	63
nano	wc_31_60	1152	48	2417	1	0	240
nano	wc_31_60	1165	40	2098	1	0	135
nano	wc_31_60	1178	51	2103	1	0	126
nano	wc_61_100	1201	63	1616	1	0	18
nano	wc_61_100	1214	75	2103	1	0	34
nano	wc_61_100	1227	87	2173	1	1	32
nano	wc_61_100	1240	70	1607	1	0	46
nano	wc_61_100	1253	86	2665	1	0	40
nano	wc_61_100	1266	72	1605	1	0	44
nano	wc_61_100	1279	79	1585	1	1	40
nano	wc_61_100	1292	66	1611	1	0	160
nano	wc_61_100	1305	77	1615	1	0	58
nano	wc_61_100	1318	90	2120	1	0	45
nano	wc_61_100	1331	74	1651	1	1	48
nano	wc_61_100	1344	89	1593	1	0	22
nano	wc_61_100	1357	69	1596	1	0	48
nano	wc_61_100	1370	85	1587	1	1	62
nano	wc_61_100	1383	68	1592	1	0	58
nano	wc_61_100	1396	79	1581	1	0	120
nano	wc_61_100	1409	93	1602	1	0	81
nano	wc_61_100	1422	72	1618	1	0	54
nano	wc_61_100	1435	87	2123	1	0	27
nano	wc_61_100	1448	73	1598	1	1	54
nano	wc_61_100	1461	84	1615	1	0	27
nano	wc_61_100	1474	69	1622	1	0	120
nano	wc_61_100	1487	80	1630	1	0	69
nano	wc_61_100	1500	99	1578	1	0	150
nano	wc_61_100	1513	73	1636	1	0	27
nano	wc_61_100	1526	94	1612	1	0	180
nano	wc_61_100	1539	78	1577	1	0	123
nano	wc_61_100	1552	87	1610	1	0	126
nano	wc_61_100	1565	72	1619	1	0	153
nano	wc_61_100	1578	78	1630	1	0	84
nano	wc_101_200	1601	108	1576	1	0	20
nano	wc_101_200	1614	118	1621	1	0	30
nano	wc_101_200	1627	128	1588	1	0	42
nano	wc_101_200	1640	142	2080	1	0	40
nano	wc_101_200	1653	162	1595	1	0	48
nano	wc_101_200	1666	170	2088	1	0	46
nano	wc_101_200	1679	182	2616	1	0	70
nano	wc_101_200	1692	104	1579	1	0	42
nano	wc_101_200	1705	115	1583	1	0	46
nano	wc_101_200	1718	128	1579	1	0	40
nano	wc_101_200	1731	144	2085	1	0	50
nano	wc_101_200	1744	158	2104	1	0	48
nano	wc_101_200	1757	168	2134	1	0	48
nano	wc_101_200	1770	184	2098	1	0	62
nano	wc_101_200	1783	106	2134	1	0	102
nano	wc_101_200	1796	122	2115	1	0	100
nano	wc_101_200	1809	134	2141	1	0	100
nano	wc_101_200	1822	143	2107	1	0	120
nano	wc_101_200	1835	161	2610	1	0	122
nano	wc_101_200	1848	170	2646	1	0	120
nano	wc_101_200	1861	184	2630	1	0	120
nano	wc_101_200	1874	109	2659	1	0	120
nano	wc_101_200	1887	123	2165	1	0	44
nano	wc_101_200	1900	135	2104	1	0	60
nano	wc_101_200	1913	144	2102	1	0	102
nano	wc_101_200	1926	157	2634	1	0	100
nano	wc_101_200	1939	170	2163	1	0	126
nano	wc_101_200	1952	187	2639	1	0	126
nano	wc_101_200	1965	105	2145	1	0	142
nano	wc_101_200	1978	119	2119	1	1	154
mid	wc_5_15	1	5	1622	5	1	1 plus 1 is 2.
mid	wc_5_15	14	5	1619	1	1	15
mid	wc_5_15	27	5	1611	1	1	9
mid	wc_5_15	40	5	1088	1	1	22
mid	wc_5_15	53	5	1090	1	1	16
mid	wc_5_15	66	5	1658	1	1	10
mid	wc_5_15	79	5	1655	1	1	23
mid	wc_5_15	92	5	1624	1	1	17
mid	wc_5_15	105	5	1101	1	1	11
mid	wc_5_15	118	5	1630	1	1	24
mid	wc_5_15	131	5	2163	1	1	18
mid	wc_5_15	144	5	1672	1	1	12
mid	wc_5_15	157	5	1095	1	1	25
mid	wc_5_15	170	5	1584	5	1	9 plus 10 is 19.
mid	wc_5_15	183	5	4246	5	1	10 plus 3 is 13.
mid	wc_5_15	196	5	3369	1	1	26
mid	wc_5_15	209	7	2206	1	1	20
mid	wc_5_15	222	7	1974	1	1	12
mid	wc_5_15	235	7	1090	1	1	30
mid	wc_5_15	248	7	1091	1	1	54
mid	wc_5_15	261	7	1107	1	1	16
mid	wc_5_15	274	7	1103	1	1	45
mid	wc_5_15	287	7	1122	1	1	80
mid	wc_5_15	300	7	1102	1	1	121
mid	wc_5_15	313	5	1074	1	1	Vienna
mid	wc_5_15	326	6	1070	1	0	monel
mid	wc_5_15	339	11	1089	1	1	30
mid	wc_5_15	352	11	1589	1	1	25
mid	wc_5_15	365	11	1085	1	1	29
mid	wc_5_15	378	11	1079	1	1	33
mid	wc_16_30	401	19	1081	1	1	22
mid	wc_16_30	414	19	1606	1	1	35
mid	wc_16_30	427	19	1652	1	1	29
mid	wc_16_30	440	19	1644	1	1	42
mid	wc_16_30	453	19	1084	1	1	36
mid	wc_16_30	466	19	1577	1	0	20
mid	wc_16_30	479	19	1626	1	1	43
mid	wc_16_30	492	19	1092	1	1	37
mid	wc_16_30	505	19	1084	1	1	31
mid	wc_16_30	518	19	1646	1	1	44
mid	wc_16_30	531	19	1691	1	1	38
mid	wc_16_30	544	19	1092	1	1	32
mid	wc_16_30	557	19	1098	1	1	45
mid	wc_16_30	570	19	1107	1	1	39
mid	wc_16_30	583	19	1151	1	1	33
mid	wc_16_30	596	19	1611	1	1	46
mid	wc_16_30	609	18	1079	1	1	20
mid	wc_16_30	622	18	1603	1	1	9
mid	wc_16_30	635	18	1077	1	1	48
mid	wc_16_30	648	18	1089	1	1	36
mid	wc_16_30	661	18	1585	1	1	10
mid	wc_16_30	674	18	1088	1	1	75
mid	wc_16_30	687	18	1061	1	1	48
mid	wc_16_30	700	18	1090	1	1	126
mid	wc_16_30	713	18	1090	1	0	105
mid	wc_16_30	726	18	1618	1	1	56
mid	wc_16_30	739	18	1100	1	1	160
mid	wc_16_30	752	18	1600	1	1	117
mid	wc_16_30	765	18	1594	1	1	60
mid	wc_16_30	778	18	1074	1	1	190
mid	wc_31_60	801	33	1085	1	0	16
mid	wc_31_60	814	49	1578	1	0	66
mid	wc_31_60	827	43	1076	1	0	54
mid	wc_31_60	840	56	1573	1	0	24
mid	wc_31_60	853	48	1081	1	0	72
mid	wc_31_60	866	38	1591	1	0	50
mid	wc_31_60	879	50	1573	1	0	40
mid	wc_31_60	892	42	1687	1	0	44
mid	wc_31_60	905	36	1588	1	0	76
mid	wc_31_60	918	50	1581	1	0	88
mid	wc_31_60	931	42	1579	1	0	44
mid	wc_31_60	944	35	1088	1	0	54
mid	wc_31_60	957	55	1078	1	0	160
mid	wc_31_60	970	49	1582	1	0	78
mid	wc_31_60	983	33	1612	1	0	58
mid	wc_31_60	996	48	1574	1	0	140
mid	wc_31_60	1009	40	1597	1	0	144
mid	wc_31_60	1022	38	1622	1	0	55
mid	wc_31_60	1035	50	1586	1	0	64
mid	wc_31_60	1048	42	1568	1	0	18
mid	wc_31_60	1061	36	1095	1	0	105
mid	wc_31_60	1074	44	1579	1	0	240
mid	wc_31_60	1087	42	1622	1	0	45
mid	wc_31_60	1100	53	1640	1	0	54
mid	wc_31_60	1113	45	1582	1	0	135
mid	wc_31_60	1126	39	1084	1	0	84
mid	wc_31_60	1139	52	1069	1	0	123
mid	wc_31_60	1152	48	1568	1	0	216
mid	wc_31_60	1165	40	1629	1	0	135
mid	wc_31_60	1178	51	1614	1	0	216
mid	wc_61_100	1201	63	1600	1	0	24
mid	wc_61_100	1214	75	1592	1	0	52
mid	wc_61_100	1227	87	2104	1	0	64
mid	wc_61_100	1240	70	1586	1	0	86
mid	wc_61_100	1253	86	1585	1	0	56
mid	wc_61_100	1266	72	2091	1	0	58
mid	wc_61_100	1279	79	1625	1	0	50
mid	wc_61_100	1292	66	1613	1	0	160
mid	wc_61_100	1305	77	1591	1	0	14
mid	wc_61_100	1318	90	2090	1	1	54
mid	wc_61_100	1331	74	2179	1	0	58
mid	wc_61_100	1344	89	1591	1	0	222
mid	wc_61_100	1357	69	1579	1	0	48
mid	wc_61_100	1370	85	1585	1	0	70
mid	wc_61_100	1383	68	1599	1	0	58
mid	wc_61_100	1396	79	1581	1	0	120
mid	wc_61_100	1409	93	2086	1	0	105
mid	wc_61_100	1422	72	1586	1	0	84
mid	wc_61_100	1435	87	1573	1	0	273
mid	wc_61_100	1448	73	1600	1	0	240
mid	wc_61_100	1461	84	2148	1	0	216
