rung	params_b	img	n_expected	sample_idx	wall_ms	correct	output_snippet
SmolVLM-500M-Instruct-Q8_0	0.5	count_5_s00	5	0	2543	1	5.
SmolVLM-500M-Instruct-Q8_0	0.5	count_5_s01	5	1	1757	0	4.
SmolVLM-500M-Instruct-Q8_0	0.5	count_5_s02	5	2	1673	1	5.
SmolVLM-500M-Instruct-Q8_0	0.5	count_5_s03	5	3	2178	0	4.
SmolVLM-500M-Instruct-Q8_0	0.5	count_5_s04	5	4	1817	1	5.
SmolVLM-500M-Instruct-Q8_0	0.5	count_5_s05	5	5	2199	1	5.
SmolVLM-500M-Instruct-Q8_0	0.5	count_5_s06	5	6	1727	0	4.
SmolVLM-500M-Instruct-Q8_0	0.5	count_5_s07	5	7	2257	1	5.
SmolVLM-500M-Instruct-Q8_0	0.5	count_5_s08	5	8	1696	0	4.
SmolVLM-500M-Instruct-Q8_0	0.5	count_5_s09	5	9	2213	0	4.
SmolVLM-500M-Instruct-Q8_0	0.5	count_6_s00	6	0	2213	0	5.
SmolVLM-500M-Instruct-Q8_0	0.5	count_6_s01	6	1	2147	0	5.
SmolVLM-500M-Instruct-Q8_0	0.5	count_6_s02	6	2	1755	0	5.
SmolVLM-500M-Instruct-Q8_0	0.5	count_6_s03	6	3	3053	0	5.
SmolVLM-500M-Instruct-Q8_0	0.5	count_6_s04	6	4	2730	0	5.
SmolVLM-500M-Instruct-Q8_0	0.5	count_6_s05	6	5	2717	0	4.
SmolVLM-500M-Instruct-Q8_0	0.5	count_6_s06	6	6	2204	0	5.
SmolVLM-500M-Instruct-Q8_0	0.5	count_6_s07	6	7	1814	0	5.
SmolVLM-500M-Instruct-Q8_0	0.5	count_6_s08	6	8	2690	1	6.
SmolVLM-500M-Instruct-Q8_0	0.5	count_6_s09	6	9	1718	0	5.
SmolVLM-500M-Instruct-Q8_0	0.5	count_7_s00	7	0	3146	0	6.
SmolVLM-500M-Instruct-Q8_0	0.5	count_7_s01	7	1	1825	0	5.
SmolVLM-500M-Instruct-Q8_0	0.5	count_7_s02	7	2	1711	0	6.
SmolVLM-500M-Instruct-Q8_0	0.5	count_7_s03	7	3	3790	0	6.
SmolVLM-500M-Instruct-Q8_0	0.5	count_7_s04	7	4	1714	0	6.
SmolVLM-500M-Instruct-Q8_0	0.5	count_7_s05	7	5	2351	0	6.
SmolVLM-500M-Instruct-Q8_0	0.5	count_7_s06	7	6	1895	0	6.
SmolVLM-500M-Instruct-Q8_0	0.5	count_7_s07	7	7	2188	0	6.
SmolVLM-500M-Instruct-Q8_0	0.5	count_7_s08	7	8	2046	0	6.
SmolVLM-500M-Instruct-Q8_0	0.5	count_7_s09	7	9	1838	0	6.
SmolVLM-500M-Instruct-Q8_0	0.5	count_8_s00	8	0	2128	0	7.
SmolVLM-500M-Instruct-Q8_0	0.5	count_8_s01	8	1	1812	0	7.
SmolVLM-500M-Instruct-Q8_0	0.5	count_8_s02	8	2	2299	0	6.
SmolVLM-500M-Instruct-Q8_0	0.5	count_8_s03	8	3	1729	0	7.
SmolVLM-500M-Instruct-Q8_0	0.5	count_8_s04	8	4	2301	0	6.
SmolVLM-500M-Instruct-Q8_0	0.5	count_8_s05	8	5	1710	0	6.
SmolVLM-500M-Instruct-Q8_0	0.5	count_8_s06	8	6	2232	0	7.
SmolVLM-500M-Instruct-Q8_0	0.5	count_8_s07	8	7	2704	0	6.
SmolVLM-500M-Instruct-Q8_0	0.5	count_8_s08	8	8	1172	0	6.
SmolVLM-500M-Instruct-Q8_0	0.5	count_8_s09	8	9	2189	0	6.
SmolVLM-500M-Instruct-Q8_0	0.5	count_9_s00	9	0	1845	0	8
SmolVLM-500M-Instruct-Q8_0	0.5	count_9_s01	9	1	1668	0	8.
SmolVLM-500M-Instruct-Q8_0	0.5	count_9_s02	9	2	1782	0	6
SmolVLM-500M-Instruct-Q8_0	0.5	count_9_s03	9	3	2292	0	8.
SmolVLM-500M-Instruct-Q8_0	0.5	count_9_s04	9	4	1794	0	7.
SmolVLM-500M-Instruct-Q8_0	0.5	count_9_s05	9	5	1698	0	6
SmolVLM-500M-Instruct-Q8_0	0.5	count_9_s06	9	6	2318	0	7.
SmolVLM-500M-Instruct-Q8_0	0.5	count_9_s07	9	7	1805	0	8.
SmolVLM-500M-Instruct-Q8_0	0.5	count_9_s08	9	8	1720	0	6.
SmolVLM-500M-Instruct-Q8_0	0.5	count_9_s09	9	9	2466	0	6.
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_5_s00	5	0	4798	0	6
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_5_s01	5	1	3296	1	5
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_5_s02	5	2	3389	0	6
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_5_s03	5	3	3254	0	6
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_5_s04	5	4	3323	1	5
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_5_s05	5	5	3374	0	6
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_5_s06	5	6	3740	0	6
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_5_s07	5	7	3231	0	6
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_5_s08	5	8	3241	1	5
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_5_s09	5	9	3256	0	6
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_6_s00	6	0	2770	1	6
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_6_s01	6	1	3329	0	7
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_6_s02	6	2	3781	1	6
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_6_s03	6	3	3785	0	7
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_6_s04	6	4	3440	1	6
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_6_s05	6	5	3742	0	7
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_6_s06	6	6	3245	0	7
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_6_s07	6	7	3336	0	7
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_6_s08	6	8	3261	0	7
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_6_s09	6	9	3545	0	7
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_7_s00	7	0	3734	1	7
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_7_s01	7	1	3533	0	8
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_7_s02	7	2	3273	0	8
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_7_s03	7	3	3262	1	7
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_7_s04	7	4	3282	0	8
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_7_s05	7	5	3252	1	7
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_7_s06	7	6	3320	1	7
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_7_s07	7	7	2935	0	8
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_7_s08	7	8	3181	1	7
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_7_s09	7	9	4543	1	7
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_8_s00	8	0	3429	1	8
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_8_s01	8	1	3463	1	8
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_8_s02	8	2	3495	1	8
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_8_s03	8	3	3764	1	8
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_8_s04	8	4	0	0	PARSE_ERROR:
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_8_s05	8	5	0	0	PARSE_ERROR:
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_8_s06	8	6	3269	1	8
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_8_s07	8	7	3861	1	8
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_8_s08	8	8	3293	1	8
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_8_s09	8	9	3470	1	8
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_9_s00	9	0	3227	1	9
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_9_s01	9	1	3329	1	9
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_9_s02	9	2	3785	1	9
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_9_s03	9	3	3246	1	9
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_9_s04	9	4	3519	1	9
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_9_s05	9	5	3873	0	8
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_9_s06	9	6	3785	0	10
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_9_s07	9	7	3459	1	9
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_9_s08	9	8	3326	1	9
SmolVLM2-2.2B-Instruct-Q8_0	2.2	count_9_s09	9	9	3302	1	9
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_5_s00	5	0	11353	1	5
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_5_s01	5	1	8942	1	5
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_5_s02	5	2	7825	1	5
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_5_s03	5	3	7989	1	5
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_5_s04	5	4	6824	1	5
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_5_s05	5	5	9299	1	5
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_5_s06	5	6	17656	1	5
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_5_s07	5	7	18193	0	4
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_5_s08	5	8	12993	1	5
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_5_s09	5	9	16268	1	5
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_6_s00	6	0	12119	0	7
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_6_s01	6	1	10401	1	6
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_6_s02	6	2	6867	1	6
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_6_s03	6	3	6863	0	4
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_6_s04	6	4	9511	0	5
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_6_s05	6	5	9023	1	6
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_6_s06	6	6	9697	1	6
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_6_s07	6	7	8374	1	6
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_6_s08	6	8	10205	0	5
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_6_s09	6	9	12385	1	6
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_7_s00	7	0	14814	1	7
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_7_s01	7	1	9845	1	7
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_7_s02	7	2	8487	0	5
Qwen2.5-VL-3B-Instruct-Q4_K_M	3.0	count_7_s03	7	3	8483	1	7
