persona	stratum	task_idx	wc	wall_ms	output_tok_est	correct	output_snippet
nano	wc_5_15	1	5	2081	1	1	2.
nano	wc_5_15	14	5	1085	1	1	15
nano	wc_5_15	27	5	1107	1	1	9
nano	wc_5_15	40	5	1084	1	1	22
nano	wc_5_15	53	5	1116	1	1	16
nano	wc_5_15	66	5	1084	1	1	10
nano	wc_5_15	79	5	1084	1	1	23
nano	wc_5_15	92	5	1108	1	1	17
nano	wc_5_15	105	5	1080	1	1	11
nano	wc_5_15	118	5	1074	1	1	24
nano	wc_5_15	131	5	1075	1	1	18
nano	wc_5_15	144	5	1089	1	1	12
nano	wc_5_15	157	5	1084	1	1	25
nano	wc_5_15	170	5	1089	1	1	19
nano	wc_5_15	183	5	1080	1	1	13
nano	wc_5_15	196	5	1091	1	1	26
nano	wc_5_15	209	7	3176	1	1	20.
nano	wc_5_15	222	7	1097	1	1	12.
nano	wc_5_15	235	7	1107	1	1	30.
nano	wc_5_15	248	7	2096	1	1	54.
nano	wc_5_15	261	7	1636	1	1	16.
nano	wc_5_15	274	7	1613	1	1	45.
nano	wc_5_15	287	7	2153	1	1	80.
nano	wc_5_15	300	7	1714	1	1	121.
nano	wc_5_15	313	5	1838	1	1	Vienna.
nano	wc_5_15	326	6	1616	1	0	monelle
nano	wc_5_15	339	11	1107	1	1	30
nano	wc_5_15	352	11	1141	1	1	25
nano	wc_5_15	365	11	1629	1	1	29
nano	wc_5_15	378	11	2424	1	1	33
nano	wc_16_30	401	19	1599	1	1	22
nano	wc_16_30	414	19	1608	1	1	35
nano	wc_16_30	427	19	1133	1	0	39
nano	wc_16_30	440	19	1619	1	1	42
nano	wc_16_30	453	19	2130	1	1	36
nano	wc_16_30	466	19	1618	1	1	30
nano	wc_16_30	479	19	1461	1	1	43
nano	wc_16_30	492	19	2125	1	1	37
nano	wc_16_30	505	19	1166	1	1	31
nano	wc_16_30	518	19	1094	1	1	44
nano	wc_16_30	531	19	1075	1	1	38
nano	wc_16_30	544	19	1074	1	1	32
nano	wc_16_30	557	19	1078	1	1	45
nano	wc_16_30	570	19	1117	1	1	39
nano	wc_16_30	583	19	1073	1	1	33
nano	wc_16_30	596	19	1092	1	1	46
nano	wc_16_30	609	18	1080	1	1	20
nano	wc_16_30	622	18	1145	1	1	9
nano	wc_16_30	635	18	1090	1	1	48
nano	wc_16_30	648	18	1093	1	1	36
nano	wc_16_30	661	18	1084	1	1	10
nano	wc_16_30	674	18	1107	1	1	75
nano	wc_16_30	687	18	1086	1	1	48
nano	wc_16_30	700	18	1075	1	1	126
nano	wc_16_30	713	18	1082	1	1	98
nano	wc_16_30	726	18	1141	1	1	56
nano	wc_16_30	739	18	1078	1	1	160
nano	wc_16_30	752	18	1089	1	1	117
nano	wc_16_30	765	18	1076	1	1	60
nano	wc_16_30	778	18	1103	1	1	190
nano	wc_31_60	801	33	1074	1	1	18
nano	wc_31_60	814	49	1101	1	0	38
nano	wc_31_60	827	43	1079	1	1	24
nano	wc_31_60	840	56	1079	1	0	18
nano	wc_31_60	853	48	1090	1	0	36
nano	wc_31_60	866	38	1626	1	1	30
nano	wc_31_60	879	50	1087	1	0	28
nano	wc_31_60	892	42	2083	1	1	46
nano	wc_31_60	905	36	2259	1	0	38
nano	wc_31_60	918	50	4282	1	0	38
nano	wc_31_60	931	42	2443	1	0	58
nano	wc_31_60	944	35	3038	1	0	48
nano	wc_31_60	957	55	6829	1	0	38
nano	wc_31_60	970	49	6256	1	0	78
nano	wc_31_60	983	33	5353	1	1	48
nano	wc_31_60	996	48	6458	1	0	58
nano	wc_31_60	1009	40	8332	1	0	76
nano	wc_31_60	1022	38	7368	1	0	58
nano	wc_31_60	1035	50	3058	1	0	48
nano	wc_31_60	1048	42	4723	1	0	18
nano	wc_31_60	1061	36	6256	1	0	66
nano	wc_31_60	1074	44	5339	1	0	108
nano	wc_31_60	1087	42	2486	1	0	45
nano	wc_31_60	1100	53	6268	1	0	63
nano	wc_31_60	1113	45	5364	1	0	60
nano	wc_31_60	1126	39	3227	1	0	42
nano	wc_31_60	1139	52	4277	1	0	153
nano	wc_31_60	1152	48	7776	1	0	110
nano	wc_31_60	1165	40	13676	1	0	63
nano	wc_31_60	1178	51	10473	1	0	105
nano	wc_61_100	1201	63	12328	1	0	24
nano	wc_61_100	1214	75	4526	1	0	44
nano	wc_61_100	1227	87	3302	1	0	36
nano	wc_61_100	1240	70	2760	1	0	38
nano	wc_61_100	1253	86	2867	1	0	26
nano	wc_61_100	1266	72	3280	1	1	46
nano	wc_61_100	1279	79	3170	1	0	42
nano	wc_61_100	1292	66	2786	1	1	34
nano	wc_61_100	1305	77	2142	1	0	38
nano	wc_61_100	1318	90	2168	1	1	54
nano	wc_61_100	1331	74	6181	1	0	58
nano	wc_61_100	1344	89	3264	1	0	54
nano	wc_61_100	1357	69	2158	1	1	36
nano	wc_61_100	1370	85	1160	1	0	70
nano	wc_61_100	1383	68	1119	1	0	74
nano	wc_61_100	1396	79	2604	1	0	117
nano	wc_61_100	1409	93	1664	1	0	63
nano	wc_61_100	1422	72	2121	1	0	48
nano	wc_61_100	1435	87	1626	1	0	156
nano	wc_61_100	1448	73	1120	1	1	54
nano	wc_61_100	1461	84	1606	1	0	159
nano	wc_61_100	1474	69	1651	1	0	96
nano	wc_61_100	1487	80	1634	1	0	219
nano	wc_61_100	1500	99	1765	1	0	114
nano	wc_61_100	1513	73	1754	1	0	117
nano	wc_61_100	1526	94	1104	1	0	126
nano	wc_61_100	1539	78	1602	1	0	159
nano	wc_61_100	1552	87	1653	1	0	156
nano	wc_61_100	1565	72	1665	1	0	117
nano	wc_61_100	1578	78	2214	1	0	104
nano	wc_101_200	1601	108	2085	1	0	24
nano	wc_101_200	1614	118	2155	1	1	14
nano	wc_101_200	1627	128	1671	1	0	14
nano	wc_101_200	1640	142	1620	1	0	26
nano	wc_101_200	1653	162	1831	1	0	24
nano	wc_101_200	1666	170	1661	1	0	44
nano	wc_101_200	1679	182	1591	1	0	26
nano	wc_101_200	1692	104	1104	1	0	14
nano	wc_101_200	1705	115	2141	1	0	12
nano	wc_101_200	1718	128	1102	1	0	26
nano	wc_101_200	1731	144	1093	1	0	12
nano	wc_101_200	1744	158	2378	1	0	45
nano	wc_101_200	1757	168	2617	1	0	44
nano	wc_101_200	1770	184	1634	1	0	45
nano	wc_101_200	1783	106	2675	1	0	50
nano	wc_101_200	1796	122	2115	1	0	45
nano	wc_101_200	1809	134	3895	1	0	94
nano	wc_101_200	1822	143	1619	1	0	115
nano	wc_101_200	1835	161	1615	1	0	55
nano	wc_101_200	1848	170	1126	1	0	35
nano	wc_101_200	1861	184	1608	1	0	104
nano	wc_101_200	1874	109	3160	1	0	135
nano	wc_101_200	1887	123	1740	1	0	10
nano	wc_101_200	1900	135	4179	1	0	120
nano	wc_101_200	1913	144	1741	1	0	104
nano	wc_101_200	1926	157	2142	1	0	80
nano	wc_101_200	1939	170	1626	1	0	104
nano	wc_101_200	1952	187	2117	1	0	104
nano	wc_101_200	1965	105	2183	1	0	124
nano	wc_101_200	1978	119	1689	1	0	120
mid	wc_5_15	1	5	1635	1	1	2.
mid	wc_5_15	14	5	5160	5	1	1 plus 14 equals 15.
mid	wc_5_15	27	5	2304	5	1	2 plus 7 equals 9.
mid	wc_5_15	40	5	1617	5	1	2 plus 20 equals 22.
mid	wc_5_15	53	5	2711	5	1	3 plus 13 equals 16.
mid	wc_5_15	66	5	2511	5	1	4 plus 6 equals 10.
mid	wc_5_15	79	5	2778	5	1	4 plus 19 equals 23.
mid	wc_5_15	92	5	1668	5	1	5 plus 12 equals 17.
mid	wc_5_15	105	5	2676	5	1	6 plus 5 equals 11.
mid	wc_5_15	118	5	1653	5	1	6 plus 18 equals 24.
mid	wc_5_15	131	5	2130	5	1	7 plus 11 equals 18.
mid	wc_5_15	144	5	2974	5	1	8 plus 4 equals 12.
mid	wc_5_15	157	5	1628	5	1	8 plus 17 equals 25.
mid	wc_5_15	170	5	2446	1	1	19.
mid	wc_5_15	183	5	1682	5	1	10 plus 3 equals 13.
mid	wc_5_15	196	5	1101	5	1	10 plus 16 equals 26.
mid	wc_5_15	209	7	1098	1	1	20.
mid	wc_5_15	222	7	1769	1	1	12.
mid	wc_5_15	235	7	1636	1	1	30.
mid	wc_5_15	248	7	2188	1	1	54.
mid	wc_5_15	261	7	2192	1	1	16.
mid	wc_5_15	274	7	1127	1	1	45.
mid	wc_5_15	287	7	1632	1	1	80.
mid	wc_5_15	300	7	1090	1	1	121.
mid	wc_5_15	313	5	1596	1	1	Vienna.
mid	wc_5_15	326	6	1099	1	0	kmelon
mid	wc_5_15	339	11	1096	1	1	30
mid	wc_5_15	352	11	1293	1	1	25
mid	wc_5_15	365	11	1079	1	1	29
mid	wc_5_15	378	11	1603	1	1	33
mid	wc_16_30	401	19	1111	1	1	22
mid	wc_16_30	414	19	1160	1	1	35
mid	wc_16_30	427	19	1610	1	0	39
mid	wc_16_30	440	19	1665	1	1	42
mid	wc_16_30	453	19	1128	1	1	36
mid	wc_16_30	466	19	1622	1	1	30
mid	wc_16_30	479	19	1170	1	1	43
mid	wc_16_30	492	19	1138	1	1	37
mid	wc_16_30	505	19	1102	1	1	31
mid	wc_16_30	518	19	1076	1	1	44
mid	wc_16_30	531	19	1101	1	1	38
mid	wc_16_30	544	19	1093	1	1	32
mid	wc_16_30	557	19	1083	1	1	45
mid	wc_16_30	570	19	1081	1	1	39
mid	wc_16_30	583	19	1076	1	1	33
mid	wc_16_30	596	19	1088	1	1	46
mid	wc_16_30	609	18	1160	1	1	20
mid	wc_16_30	622	18	1089	1	1	9
mid	wc_16_30	635	18	1090	1	1	48
mid	wc_16_30	648	18	1586	1	1	36
mid	wc_16_30	661	18	1095	1	1	10
mid	wc_16_30	674	18	1091	1	1	75
mid	wc_16_30	687	18	1701	1	1	48
mid	wc_16_30	700	18	1619	1	1	126
mid	wc_16_30	713	18	1073	1	1	98
mid	wc_16_30	726	18	1085	1	1	56
mid	wc_16_30	739	18	1619	1	1	160
mid	wc_16_30	752	18	1085	1	1	117
mid	wc_16_30	765	18	1077	1	1	60
mid	wc_16_30	778	18	1118	1	1	190
mid	wc_31_60	801	33	1078	1	0	16
mid	wc_31_60	814	49	1086	1	0	62
mid	wc_31_60	827	43	1081	1	0	42
mid	wc_31_60	840	56	1082	1	0	34
mid	wc_31_60	853	48	1108	1	0	148
mid	wc_31_60	866	38	1159	1	1	30
mid	wc_31_60	879	50	1087	1	0	26
mid	wc_31_60	892	42	1071	1	0	64
mid	wc_31_60	905	36	1085	1	0	58
mid	wc_31_60	918	50	1067	1	0	38
mid	wc_31_60	931	42	1080	1	0	80
mid	wc_31_60	944	35	1121	1	0	58
mid	wc_31_60	957	55	1115	1	0	42
mid	wc_31_60	970	49	1599	1	0	138
mid	wc_31_60	983	33	1113	1	0	58
