task_idx	model	cost_usd	duration_ms	input_tokens	output_tokens	correct	result_snippet
1	claude-haiku-4-5-20251001	0.0027279999999999995	2088	1945	57	1	4
2	claude-haiku-4-5-20251001	0.0022099999999999997	1400	1945	53	1	8
3	claude-haiku-4-5-20251001	0.002698	1112	1945	46	1	4
4	claude-haiku-4-5-20251001	0.002733	2648	1945	58	1	42
5	claude-haiku-4-5-20251001	0.0027229999999999997	1523	1945	53	1	81
6	claude-haiku-4-5-20251001	0.002748	1463	1945	56	1	5
7	claude-haiku-4-5-20251001	0.002738	1418	1945	53	1	7
8	claude-haiku-4-5-20251001	0.002713	1338	1945	54	1	25
9	claude-haiku-4-5-20251001	0.00219	1332	1945	49	1	25
10	claude-haiku-4-5-20251001	0.0027429999999999998	1589	1945	59	1	64
11	claude-haiku-4-5-20251001	0.002176	1157	1946	46	1	9
12	claude-haiku-4-5-20251001	0.002725	1320	1946	53	1	12
13	claude-haiku-4-5-20251001	0.002249	1669	1944	61	1	120
14	claude-haiku-4-5-20251001	0.002209	1272	1944	53	1	24
15	claude-haiku-4-5-20251001	0.002269	1224	1944	65	1	6
16	claude-haiku-4-5-20251001	0.003022	1504	1947	108	1	55
17	claude-haiku-4-5-20251001	0.0028169999999999996	1368	1947	69	1	10
18	claude-haiku-4-5-20251001	0.002812	1419	1947	68	1	40
19	claude-haiku-4-5-20251001	0.002769	1554	1948	59	1	3
20	claude-haiku-4-5-20251001	0.0028169999999999996	1622	1947	71	1	3
21	claude-haiku-4-5-20251001	0.002867	1526	1947	78	1	4
22	claude-haiku-4-5-20251001	0.00226	1454	1945	63	1	1024
23	claude-haiku-4-5-20251001	0.003103	1458	1945	125	1	256
24	claude-haiku-4-5-20251001	0.003246	1603	1949	152	1	6
25	claude-haiku-4-5-20251001	0.0032860000000000003	1939	1949	160	1	10
26	claude-haiku-4-5-20251001	0.003006	1825	1949	110	1	12
27	claude-haiku-4-5-20251001	0.002834	1409	1948	72	1	3.14
28	claude-haiku-4-5-20251001	0.003079	1757	1948	121	0	2.72
29	claude-haiku-4-5-20251001	0.002896	2225	1944	90	1	The capital of France is **Paris**.
30	claude-haiku-4-5-20251001	0.0029509999999999996	1906	1944	101	1	Tokyo.
31	claude-haiku-4-5-20251001	0.003071	2024	1944	123	1	The capital of Italy is **Rome** (Roma in Italian).
32	claude-haiku-4-5-20251001	0.003046	1923	1944	119	1	The capital of Spain is **Madrid**.
33	claude-haiku-4-5-20251001	0.003006	1813	1944	112	1	The capital of the UK is **London**.
34	claude-haiku-4-5-20251001	0.002951	1542	1944	100	1	The capital of Germany is **Berlin**.
35	claude-haiku-4-5-20251001	0.002599	2515	1944	131	1	The capital of Canada is **Ottawa**.  It's located in Ontario, on the Ottawa Riv
36	claude-haiku-4-5-20251001	0.003031	1957	1944	117	1	The capital of Russia is **Moscow** (Москва).
37	claude-haiku-4-5-20251001	0.002334	1384	1944	78	1	The capital of Egypt is **Cairo**.
38	claude-haiku-4-5-20251001	0.003126	2914	1944	132	0	The capital of Brazil is **Brasília** (Brasília, DF - Distrito Federal).  It's
39	claude-haiku-4-5-20251001	0.003261	2160	1944	163	1	The capital of South Korea is **Seoul**.   If you're asking about North Korea, i
40	claude-haiku-4-5-20251001	0.002841	1492	1944	78	1	The capital of China is **Beijing**.
