family	params_b	img	n_expected	range	correct	pred	reply	wall_ms
qwen25vl	3.0	count_1_s0	1	subitizing	1	1	1	579
qwen25vl	3.0	count_1_s1	1	subitizing	1	1	1	182
qwen25vl	3.0	count_1_s2	1	subitizing	1	1	1	165
qwen25vl	3.0	count_1_s3	1	subitizing	1	1	1	160
qwen25vl	3.0	count_2_s0	2	subitizing	1	2	2	160
qwen25vl	3.0	count_2_s1	2	subitizing	1	2	2	185
qwen25vl	3.0	count_2_s2	2	subitizing	1	2	2	162
qwen25vl	3.0	count_2_s3	2	subitizing	1	2	2	158
qwen25vl	3.0	count_3_s0	3	subitizing	1	3	3	163
qwen25vl	3.0	count_3_s1	3	subitizing	1	3	3	161
qwen25vl	3.0	count_3_s2	3	subitizing	1	3	3	188
qwen25vl	3.0	count_3_s3	3	subitizing	1	3	3	162
qwen25vl	3.0	count_4_s0	4	subitizing	1	4	4	160
qwen25vl	3.0	count_4_s1	4	subitizing	1	4	4	157
qwen25vl	3.0	count_4_s2	4	subitizing	1	4	4	159
qwen25vl	3.0	count_4_s3	4	subitizing	1	4	4	157
qwen25vl	3.0	count_5_s0	5	counting	0	4	4	157
qwen25vl	3.0	count_5_s1	5	counting	1	5	5	189
qwen25vl	3.0	count_5_s2	5	counting	1	5	5	158
qwen25vl	3.0	count_5_s3	5	counting	0	4	4	158
qwen25vl	3.0	count_6_s0	6	counting	0	5	5	158
qwen25vl	3.0	count_6_s1	6	counting	0	5	5	158
qwen25vl	3.0	count_6_s2	6	counting	1	6	6	156
qwen25vl	3.0	count_6_s3	6	counting	1	6	6	181
qwen25vl	3.0	count_7_s0	7	counting	0	8	8	157
qwen25vl	3.0	count_7_s1	7	counting	1	7	7	161
qwen25vl	3.0	count_7_s2	7	counting	0	8	8	159
qwen25vl	3.0	count_7_s3	7	counting	1	7	7	180
qwen25vl	3.0	count_8_s0	8	counting	1	8	8	160
qwen25vl	3.0	count_8_s1	8	counting	0	9	9	159
qwen25vl	3.0	count_8_s2	8	counting	1	8	8	157
qwen25vl	3.0	count_8_s3	8	counting	1	8	8	162
qwen25vl	3.0	count_9_s0	9	counting	0	10	10	200
qwen25vl	3.0	count_9_s1	9	counting	1	9	9	159
qwen25vl	3.0	count_9_s2	9	counting	1	9	9	160
qwen25vl	3.0	count_9_s3	9	counting	1	9	9	163
qwen25vl	3.0	count_10_s0	10	dense	1	10	10	196
qwen25vl	3.0	count_10_s1	10	dense	1	10	10	191
qwen25vl	3.0	count_10_s2	10	dense	1	10	10	185
qwen25vl	3.0	count_10_s3	10	dense	1	10	10	187
qwen25vl	3.0	count_12_s0	12	dense	1	12	12	191
qwen25vl	3.0	count_12_s1	12	dense	0	15	15	186
qwen25vl	3.0	count_12_s2	12	dense	0	10	10	187
qwen25vl	3.0	count_12_s3	12	dense	0	10	10	241
qwen25vl	3.0	count_15_s0	15	dense	1	15	15	248
qwen25vl	3.0	count_15_s1	15	dense	1	15	15	179
qwen25vl	3.0	count_15_s2	15	dense	1	15	15	186
qwen25vl	3.0	count_15_s3	15	dense	1	15	15	214
