idx	word_count	stratum	prompt	expected_kw	expected_difficulty
1	5	wc_5_15	What is 1 plus 1?	2	1
2	5	wc_5_15	What is 1 plus 2?	3	1
3	5	wc_5_15	What is 1 plus 3?	4	1
4	5	wc_5_15	What is 1 plus 4?	5	1
5	5	wc_5_15	What is 1 plus 5?	6	1
6	5	wc_5_15	What is 1 plus 6?	7	1
7	5	wc_5_15	What is 1 plus 7?	8	1
8	5	wc_5_15	What is 1 plus 8?	9	1
9	5	wc_5_15	What is 1 plus 9?	10	1
10	5	wc_5_15	What is 1 plus 10?	11	1
11	5	wc_5_15	What is 1 plus 11?	12	1
12	5	wc_5_15	What is 1 plus 12?	13	1
13	5	wc_5_15	What is 1 plus 13?	14	1
14	5	wc_5_15	What is 1 plus 14?	15	1
15	5	wc_5_15	What is 1 plus 15?	16	1
16	5	wc_5_15	What is 1 plus 16?	17	1
17	5	wc_5_15	What is 1 plus 17?	18	1
18	5	wc_5_15	What is 1 plus 18?	19	1
19	5	wc_5_15	What is 1 plus 19?	20	1
20	5	wc_5_15	What is 1 plus 20?	21	1
21	5	wc_5_15	What is 2 plus 1?	3	1
22	5	wc_5_15	What is 2 plus 2?	4	1
23	5	wc_5_15	What is 2 plus 3?	5	1
24	5	wc_5_15	What is 2 plus 4?	6	1
25	5	wc_5_15	What is 2 plus 5?	7	1
26	5	wc_5_15	What is 2 plus 6?	8	1
27	5	wc_5_15	What is 2 plus 7?	9	1
28	5	wc_5_15	What is 2 plus 8?	10	1
29	5	wc_5_15	What is 2 plus 9?	11	1
30	5	wc_5_15	What is 2 plus 10?	12	1
31	5	wc_5_15	What is 2 plus 11?	13	1
32	5	wc_5_15	What is 2 plus 12?	14	1
33	5	wc_5_15	What is 2 plus 13?	15	1
34	5	wc_5_15	What is 2 plus 14?	16	1
35	5	wc_5_15	What is 2 plus 15?	17	1
36	5	wc_5_15	What is 2 plus 16?	18	1
37	5	wc_5_15	What is 2 plus 17?	19	1
38	5	wc_5_15	What is 2 plus 18?	20	1
39	5	wc_5_15	What is 2 plus 19?	21	1
40	5	wc_5_15	What is 2 plus 20?	22	1
41	5	wc_5_15	What is 3 plus 1?	4	1
42	5	wc_5_15	What is 3 plus 2?	5	1
43	5	wc_5_15	What is 3 plus 3?	6	1
44	5	wc_5_15	What is 3 plus 4?	7	1
45	5	wc_5_15	What is 3 plus 5?	8	1
46	5	wc_5_15	What is 3 plus 6?	9	1
47	5	wc_5_15	What is 3 plus 7?	10	1
48	5	wc_5_15	What is 3 plus 8?	11	1
49	5	wc_5_15	What is 3 plus 9?	12	1
50	5	wc_5_15	What is 3 plus 10?	13	1
51	5	wc_5_15	What is 3 plus 11?	14	1
52	5	wc_5_15	What is 3 plus 12?	15	1
53	5	wc_5_15	What is 3 plus 13?	16	1
54	5	wc_5_15	What is 3 plus 14?	17	1
55	5	wc_5_15	What is 3 plus 15?	18	1
56	5	wc_5_15	What is 3 plus 16?	19	1
57	5	wc_5_15	What is 3 plus 17?	20	1
58	5	wc_5_15	What is 3 plus 18?	21	1
59	5	wc_5_15	What is 3 plus 19?	22	1
60	5	wc_5_15	What is 3 plus 20?	23	1
61	5	wc_5_15	What is 4 plus 1?	5	1
62	5	wc_5_15	What is 4 plus 2?	6	1
63	5	wc_5_15	What is 4 plus 3?	7	1
64	5	wc_5_15	What is 4 plus 4?	8	1
65	5	wc_5_15	What is 4 plus 5?	9	1
66	5	wc_5_15	What is 4 plus 6?	10	1
67	5	wc_5_15	What is 4 plus 7?	11	1
68	5	wc_5_15	What is 4 plus 8?	12	1
69	5	wc_5_15	What is 4 plus 9?	13	1
70	5	wc_5_15	What is 4 plus 10?	14	1
71	5	wc_5_15	What is 4 plus 11?	15	1
72	5	wc_5_15	What is 4 plus 12?	16	1
73	5	wc_5_15	What is 4 plus 13?	17	1
74	5	wc_5_15	What is 4 plus 14?	18	1
75	5	wc_5_15	What is 4 plus 15?	19	1
76	5	wc_5_15	What is 4 plus 16?	20	1
77	5	wc_5_15	What is 4 plus 17?	21	1
78	5	wc_5_15	What is 4 plus 18?	22	1
79	5	wc_5_15	What is 4 plus 19?	23	1
80	5	wc_5_15	What is 4 plus 20?	24	1
81	5	wc_5_15	What is 5 plus 1?	6	1
82	5	wc_5_15	What is 5 plus 2?	7	1
83	5	wc_5_15	What is 5 plus 3?	8	1
84	5	wc_5_15	What is 5 plus 4?	9	1
85	5	wc_5_15	What is 5 plus 5?	10	1
86	5	wc_5_15	What is 5 plus 6?	11	1
87	5	wc_5_15	What is 5 plus 7?	12	1
88	5	wc_5_15	What is 5 plus 8?	13	1
89	5	wc_5_15	What is 5 plus 9?	14	1
90	5	wc_5_15	What is 5 plus 10?	15	1
91	5	wc_5_15	What is 5 plus 11?	16	1
92	5	wc_5_15	What is 5 plus 12?	17	1
93	5	wc_5_15	What is 5 plus 13?	18	1
94	5	wc_5_15	What is 5 plus 14?	19	1
95	5	wc_5_15	What is 5 plus 15?	20	1
96	5	wc_5_15	What is 5 plus 16?	21	1
97	5	wc_5_15	What is 5 plus 17?	22	1
98	5	wc_5_15	What is 5 plus 18?	23	1
99	5	wc_5_15	What is 5 plus 19?	24	1
100	5	wc_5_15	What is 5 plus 20?	25	1
101	5	wc_5_15	What is 6 plus 1?	7	1
