strategy	task_idx	draft_model	draft_cost	draft_in_tok	draft_out_tok	verify_model	verify_cost	verify_in_tok	verify_out_tok	verified_flag	total_cost	correct	final_snippet
draft_only	1	claude-haiku-4-5-20251001	0.00225	1990	52	-	0.0	0	0	false	0.00225	1	4
draft_only	2	claude-haiku-4-5-20251001	0.0027619999999999997	1984	56	-	0.0	0	0	false	0.002762	1	Paris
draft_only	3	claude-haiku-4-5-20251001	0.002828	1992	65	-	0.0	0	0	false	0.002828	1	olleh
draft_only	4	claude-haiku-4-5-20251001	0.002213	1988	45	-	0.0	0	0	false	0.002213	1	49
draft_only	5	claude-haiku-4-5-20251001	0.003046	1991	105	-	0.0	0	0	false	0.003046	1	11
draft_only	6	claude-haiku-4-5-20251001	0.0028750000000000004	1988	76	-	0.0	0	0	false	0.002875	1	2
draft_only	7	claude-haiku-4-5-20251001	0.00326	1988	154	-	0.0	0	0	false	0.00326	1	7
draft_only	8	claude-haiku-4-5-20251001	0.002901	1996	75	-	0.0	0	0	false	0.002901	1	100
draft_only	9	claude-haiku-4-5-20251001	0.002828	1992	63	-	0.0	0	0	false	0.002828	1	65
draft_only	10	claude-haiku-4-5-20251001	0.003479	1990	192	-	0.0	0	0	false	0.003479	1	29
draft_only	11	claude-haiku-4-5-20251001	0.0031530000000000004	1997	121	-	0.0	0	0	false	0.003153	1	```python print(sum(range(1, 101))) ```
draft_only	12	claude-haiku-4-5-20251001	0.0024749999999999998	1990	97	-	0.0	0	0	false	0.002475	1	O(log n)
draft_only	13	claude-haiku-4-5-20251001	0.0032400000000000003	1993	144	-	0.0	0	0	false	0.00324	1	```python lst[::-1] ```
draft_only	14	claude-haiku-4-5-20251001	0.003065	1993	111	-	0.0	0	0	false	0.003065	1	{1, 2, 3}
draft_only	15	claude-haiku-4-5-20251001	0.0031590000000000003	1990	131	-	0.0	0	0	false	0.003159	1	**TCP is connection-oriented** — it establishes a connection before transmitti
