family	params_b	img	n_expected	range	correct	pred	reply	wall_ms
llavanext	7.0	count_1_s0	1	subitizing	1	1	1	1248
llavanext	7.0	count_1_s1	1	subitizing	1	1	1	865
llavanext	7.0	count_1_s2	1	subitizing	1	1	1	863
llavanext	7.0	count_1_s3	1	subitizing	1	1	1	863
llavanext	7.0	count_2_s0	2	subitizing	1	2	2	864
llavanext	7.0	count_2_s1	2	subitizing	1	2	2	864
llavanext	7.0	count_2_s2	2	subitizing	1	2	2	868
llavanext	7.0	count_2_s3	2	subitizing	1	2	2	864
llavanext	7.0	count_3_s0	3	subitizing	1	3	3	865
llavanext	7.0	count_3_s1	3	subitizing	1	3	3	867
llavanext	7.0	count_3_s2	3	subitizing	0	4	4	867
llavanext	7.0	count_3_s3	3	subitizing	1	3	3	867
llavanext	7.0	count_4_s0	4	subitizing	0	5	5	866
llavanext	7.0	count_4_s1	4	subitizing	0	3	3	866
llavanext	7.0	count_4_s2	4	subitizing	1	4	4	866
llavanext	7.0	count_4_s3	4	subitizing	1	4	4	869
llavanext	7.0	count_5_s0	5	counting	1	5	5	868
llavanext	7.0	count_5_s1	5	counting	1	5	5	868
llavanext	7.0	count_5_s2	5	counting	0	6	6	872
llavanext	7.0	count_5_s3	5	counting	0	6	6	870
llavanext	7.0	count_6_s0	6	counting	0	7	7	869
llavanext	7.0	count_6_s1	6	counting	0	5	5	868
llavanext	7.0	count_6_s2	6	counting	0	8	8	869
llavanext	7.0	count_6_s3	6	counting	1	6	6	869
llavanext	7.0	count_7_s0	7	counting	0	8	8	870
llavanext	7.0	count_7_s1	7	counting	0	10	10	884
llavanext	7.0	count_7_s2	7	counting	0	8	8	871
llavanext	7.0	count_7_s3	7	counting	0	10	10	884
llavanext	7.0	count_8_s0	8	counting	0	10	10	887
llavanext	7.0	count_8_s1	8	counting	0	10	10	884
llavanext	7.0	count_8_s2	8	counting	1	8	8	870
llavanext	7.0	count_8_s3	8	counting	0	10	10	886
llavanext	7.0	count_9_s0	9	counting	0	12	12	886
llavanext	7.0	count_9_s1	9	counting	0	10	10	885
llavanext	7.0	count_9_s2	9	counting	0	10	10	885
llavanext	7.0	count_9_s3	9	counting	0	10	10	885
llavanext	7.0	count_10_s0	10	dense	0	12	12	884
llavanext	7.0	count_10_s1	10	dense	1	10	10	885
llavanext	7.0	count_10_s2	10	dense	0	12	12	885
llavanext	7.0	count_10_s3	10	dense	0	12	12	886
llavanext	7.0	count_12_s0	12	dense	1	12	12	885
llavanext	7.0	count_12_s1	12	dense	0	16	16	885
llavanext	7.0	count_12_s2	12	dense	0	16	16	886
llavanext	7.0	count_12_s3	12	dense	1	12	12	885
llavanext	7.0	count_15_s0	15	dense	0	16	16	885
llavanext	7.0	count_15_s1	15	dense	0	16	16	885
llavanext	7.0	count_15_s2	15	dense	0	16	16	888
llavanext	7.0	count_15_s3	15	dense	0	16	16	887
